dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;pop;couv_tot_dose1;couv_tot_complet
00;59;2021-07-08;0;1;;;
00;69;2021-07-08;0;1;;;
00;79;2021-07-08;1;0;;;
00;80;2021-07-08;1;0;;;
01;04;2021-07-08;38;21;38356.0;0.1;0.1
01;09;2021-07-08;11;2;44645.0;0.0;0.0
01;11;2021-07-08;22;3;18151.0;0.1;0.0
01;17;2021-07-08;7540;1210;52102.0;14.5;2.3
01;24;2021-07-08;18428;9251;45088.0;40.9;20.5
01;29;2021-07-08;11080;6052;34820.0;31.8;17.4
01;39;2021-07-08;31630;19122;85588.0;37.0;22.3
01;49;2021-07-08;44380;29688;89678.0;49.5;33.1
01;59;2021-07-08;53356;42829;89791.0;59.4;47.7
01;64;2021-07-08;27365;23968;38384.0;71.3;62.4
01;69;2021-07-08;26421;23565;35116.0;75.2;67.1
01;74;2021-07-08;25945;23876;30953.0;83.8;77.1
01;79;2021-07-08;17018;15805;20058.0;84.8;78.8
01;80;2021-07-08;26572;24352;34225.0;77.6;71.2
02;04;2021-07-08;9;2;28189.0;0.0;0.0
02;09;2021-07-08;7;0;34123.0;0.0;0.0
02;11;2021-07-08;15;0;14179.0;0.1;0.0
02;17;2021-07-08;7626;752;41103.0;18.6;1.8
02;24;2021-07-08;17854;8830;37469.0;47.7;23.6
02;29;2021-07-08;10389;5716;26232.0;39.6;21.8
02;39;2021-07-08;27581;16873;62599.0;44.1;27.0
02;49;2021-07-08;36067;24337;64812.0;55.6;37.6
02;59;2021-07-08;46207;35215;70352.0;65.7;50.1
02;64;2021-07-08;25307;20898;34901.0;72.5;59.9
02;69;2021-07-08;25972;22178;34176.0;76.0;64.9
02;74;2021-07-08;25445;23115;28969.0;87.8;79.8
02;79;2021-07-08;14411;13436;16402.0;87.9;81.9
02;80;2021-07-08;24435;22348;32544.0;75.1;68.7
03;04;2021-07-08;8;1;14190.0;0.1;0.0
03;09;2021-07-08;7;1;16681.0;0.0;0.0
03;11;2021-07-08;17;4;7080.0;0.2;0.1
03;17;2021-07-08;5209;971;22000.0;23.7;4.4
03;24;2021-07-08;12176;7355;20427.0;59.6;36.0
03;29;2021-07-08;7077;4554;14422.0;49.1;31.6
03;39;2021-07-08;17922;12639;33349.0;53.7;37.9
03;49;2021-07-08;26412;20082;39464.0;66.9;50.9
03;59;2021-07-08;34499;28962;45840.0;75.3;63.2
03;64;2021-07-08;19418;17346;23776.0;81.7;73.0
03;69;2021-07-08;20754;18964;25182.0;82.4;75.3
03;74;2021-07-08;21187;19911;23121.0;91.6;86.1
03;79;2021-07-08;14096;13466;15099.0;93.4;89.2
03;80;2021-07-08;24865;23483;30684.0;81.0;76.5
04;04;2021-07-08;7;2;7352.0;0.1;0.0
04;09;2021-07-08;3;0;8868.0;0.0;0.0
04;11;2021-07-08;5;0;3721.0;0.1;0.0
04;17;2021-07-08;1169;147;11153.0;10.5;1.3
04;24;2021-07-08;2564;884;9366.0;27.4;9.4
04;29;2021-07-08;1705;755;7090.0;24.0;10.6
04;39;2021-07-08;5002;2332;17545.0;28.5;13.3
04;49;2021-07-08;8236;4543;19525.0;42.2;23.3
04;59;2021-07-08;13757;10144;23898.0;57.6;42.4
04;64;2021-07-08;8611;7346;12510.0;68.8;58.7
04;69;2021-07-08;9264;8198;11975.0;77.4;68.5
04;74;2021-07-08;9703;9003;11196.0;86.7;80.4
04;79;2021-07-08;7100;6652;7612.0;93.3;87.4
04;80;2021-07-08;10424;9597;13386.0;77.9;71.7
05;04;2021-07-08;7;3;6561.0;0.1;0.0
05;09;2021-07-08;1;0;8021.0;0.0;0.0
05;11;2021-07-08;5;1;3350.0;0.1;0.0
05;17;2021-07-08;1236;209;9735.0;12.7;2.1
05;24;2021-07-08;3080;1428;8030.0;38.4;17.8
05;29;2021-07-08;2025;1033;6298.0;32.2;16.4
05;39;2021-07-08;5701;3261;16000.0;35.6;20.4
05;49;2021-07-08;8806;5621;17800.0;49.5;31.6
05;59;2021-07-08;12827;10374;20029.0;64.0;51.8
05;64;2021-07-08;7608;6580;10157.0;74.9;64.8
05;69;2021-07-08;8190;7333;10059.0;81.4;72.9
05;74;2021-07-08;8245;7658;8831.0;93.4;86.7
05;79;2021-07-08;5625;5333;5786.0;97.2;92.2
05;80;2021-07-08;8741;8166;11099.0;78.8;73.6
06;04;2021-07-08;272;120;53718.0;0.5;0.2
06;09;2021-07-08;17;9;56870.0;0.0;0.0
06;11;2021-07-08;27;8;23848.0;0.1;0.0
06;17;2021-07-08;5566;890;69129.0;8.1;1.3
06;24;2021-07-08;32081;17047;75754.0;42.3;22.5
06;29;2021-07-08;24398;14758;53360.0;45.7;27.7
06;39;2021-07-08;62489;41094;126997.0;49.2;32.4
06;49;2021-07-08;85136;61730;136067.0;62.6;45.4
06;59;2021-07-08;110536;91381;146182.0;75.6;62.5
06;64;2021-07-08;54285;47766;67948.0;79.9;70.3
06;69;2021-07-08;53993;48640;65935.0;81.9;73.8
06;74;2021-07-08;58012;52906;64545.0;89.9;82.0
06;79;2021-07-08;44721;41340;49474.0;90.4;83.6
