CODGEO,LIBGEO,EPCI,LIBEPCI,DEP,REG
01001,L'Abergement-Clémenciat,200069193,CC de la Dombes,01,84
01002,L'Abergement-de-Varey,240100883,CC de la Plaine de l'Ain,01,84
01004,Ambérieu-en-Bugey,240100883,CC de la Plaine de l'Ain,01,84
01005,Ambérieux-en-Dombes,200042497,CC Dombes Saône Vallée,01,84
01006,Ambléon,200040350,CC Bugey Sud,01,84
01007,Ambronay,240100883,CC de la Plaine de l'Ain,01,84
01008,Ambutrix,240100883,CC de la Plaine de l'Ain,01,84
01009,Andert-et-Condon,200040350,CC Bugey Sud,01,84
01010,Anglefort,200070852,CC Usses et Rhône,01,84
01011,Apremont,200042935,CA Haut - Bugey Agglomération,01,84
01012,Aranc,200042935,CA Haut - Bugey Agglomération,01,84
01013,Arandas,240100883,CC de la Plaine de l'Ain,01,84
01014,Arbent,200042935,CA Haut - Bugey Agglomération,01,84
01015,Arboys en Bugey,200040350,CC Bugey Sud,01,84
01016,Arbigny,200071371,CC Bresse et Saône,01,84
01017,Argis,240100883,CC de la Plaine de l'Ain,01,84
01019,Armix,200040350,CC Bugey Sud,01,84
01021,Ars-sur-Formans,200042497,CC Dombes Saône Vallée,01,84
01022,Artemare,200040350,CC Bugey Sud,01,84
01023,Asnières-sur-Saône,200071371,CC Bresse et Saône,01,84
01024,Attignat,200071751,CA du Bassin de Bourg-en-Bresse,01,84
01025,Bâgé-Dommartin,200071371,CC Bresse et Saône,01,84
01026,Bâgé-le-Châtel,200071371,CC Bresse et Saône,01,84
01027,Balan,240100610,CC de la Côtière à Montluel,01,84
01028,Baneins,200069193,CC de la Dombes,01,84
01029,Beaupont,200071751,CA du Bassin de Bourg-en-Bresse,01,84
01030,Beauregard,200042497,CC Dombes Saône Vallée,01,84
01031,Bellignat,200042935,CA Haut - Bugey Agglomération,01,84
01032,Béligneux,240100610,CC de la Côtière à Montluel,01,84
01033,Valserhône,240100891,CC du Pays Bellegardien (CCPB),01,84
01034,Belley,200040350,CC Bugey Sud,01,84
01035,Belleydoux,200042935,CA Haut - Bugey Agglomération,01,84
01036,Valromey-sur-Séran,200040350,CC Bugey Sud,01,84
01037,Bénonces,240100883,CC de la Plaine de l'Ain,01,84
01038,Bény,200071751,CA du Bassin de Bourg-en-Bresse,01,84
01039,Béon,200040350,CC Bugey Sud,01,84
01040,Béréziat,200071751,CA du Bassin de Bourg-en-Bresse,01,84
01041,Bettant,240100883,CC de la Plaine de l'Ain,01,84
01042,Bey,200070555,CC de la Veyle,01,84
01043,Beynost,240100800,CC de Miribel et du Plateau,01,84
01044,Billiat,240100891,CC du Pays Bellegardien (CCPB),01,84
01045,Birieux,200069193,CC de la Dombes,01,84
01046,Biziat,200070555,CC de la Veyle,01,84
01047,Blyes,240100883,CC de la Plaine de l'Ain,01,84
01049,La Boisse,240100610,CC de la Côtière à Montluel,01,84
01050,Boissey,200071371,CC Bresse et Saône,01,84
01051,Bolozon,200042935,CA Haut - Bugey Agglomération,01,84
01052,Bouligneux,200069193,CC de la Dombes,01,84
01053,Bourg-en-Bresse,200071751,CA du Bassin de Bourg-en-Bresse,01,84
01054,Bourg-Saint-Christophe,240100883,CC de la Plaine de l'Ain,01,84
01056,Boyeux-Saint-Jérôme,200029999,CC Rives de l'Ain - Pays du Cerdon,01,84
01057,Boz,200071371,CC Bresse et Saône,01,84
01058,Brégnier-Cordon,200040350,CC Bugey Sud,01,84
01060,Brénod,200042935,CA Haut - Bugey Agglomération,01,84
01061,Brens,200040350,CC Bugey Sud,01,84
01062,Bressolles,240100610,CC de la Côtière à Montluel,01,84
01063,Brion,200042935,CA Haut - Bugey Agglomération,01,84
01064,Briord,240100883,CC de la Plaine de l'Ain,01,84
01065,Buellas,200071751,CA du Bassin de Bourg-en-Bresse,01,84
01066,La Burbanche,200040350,CC Bugey Sud,01,84
01067,Ceignes,200042935,CA Haut - Bugey Agglomération,01,84
