dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel
01;04;2022-02-10;16;9;3;38356.0;0.0;0.0;0.0
01;11;2022-02-10;1473;915;30;18151.0;8.1;5.0;0.2
01;17;2022-02-10;43538;42350;5585;52102.0;83.6;81.3;10.7
01;24;2022-02-10;45404;44853;27526;45088.0;99.0;99.0;61.0
01;29;2022-02-10;27464;27085;15766;34820.0;78.9;77.8;45.3
01;39;2022-02-10;68407;67628;42264;85588.0;79.9;79.0;49.4
01;49;2022-02-10;76013;75371;54764;89678.0;84.8;84.0;61.1
01;59;2022-02-10;78812;78310;64442;89791.0;87.8;87.2;71.8
01;09;2022-02-10;1095;611;8;44645.0;2.5;1.4;0.0
01;64;2022-02-10;34384;34201;29962;38384.0;89.6;89.1;78.1
01;69;2022-02-10;31506;31334;28159;35116.0;89.7;89.2;80.2
01;74;2022-02-10;29943;29781;27186;30953.0;96.7;96.2;87.8
01;79;2022-02-10;19570;19426;17671;20058.0;97.6;96.8;88.1
01;80;2022-02-10;29865;29389;25138;34225.0;87.3;85.9;73.4
02;04;2022-02-10;7;2;0;28189.0;0.0;0.0;0.0
02;11;2022-02-10;1403;738;8;14179.0;9.9;5.2;0.1
02;17;2022-02-10;37173;35959;5837;41103.0;90.4;87.5;14.2
02;24;2022-02-10;40546;39789;26351;37469.0;99.0;99.0;70.3
02;29;2022-02-10;23480;22957;14785;26232.0;89.5;87.5;56.4
02;39;2022-02-10;54535;53624;36584;62599.0;87.1;85.7;58.4
02;49;2022-02-10;58815;58233;44984;64812.0;90.7;89.8;69.4
02;59;2022-02-10;65263;64750;55126;70352.0;92.8;92.0;78.4
02;09;2022-02-10;1094;532;2;34123.0;3.2;1.6;0.0
02;64;2022-02-10;32000;31792;28366;34901.0;91.7;91.1;81.3
02;69;2022-02-10;31009;30799;28112;34176.0;90.7;90.1;82.3
02;74;2022-02-10;29231;29035;26542;28969.0;99.0;99.0;91.6
02;79;2022-02-10;16041;15904;14380;16402.0;97.8;97.0;87.7
02;80;2022-02-10;27467;26928;22737;32544.0;84.4;82.7;69.9
03;04;2022-02-10;3;1;0;14190.0;0.0;0.0;0.0
03;11;2022-02-10;848;546;15;7080.0;12.0;7.7;0.2
03;17;2022-02-10;19461;18924;3282;22000.0;88.5;86.0;14.9
03;24;2022-02-10;22084;21760;14667;20427.0;99.0;99.0;71.8
03;29;2022-02-10;12926;12750;8379;14422.0;89.6;88.4;58.1
03;39;2022-02-10;28488;28123;19473;33349.0;85.4;84.3;58.4
03;49;2022-02-10;35178;34877;27500;39464.0;89.1;88.4;69.7
03;59;2022-02-10;42406;42093;36173;45840.0;92.5;91.8;78.9
03;09;2022-02-10;622;356;0;16681.0;3.7;2.1;0.0
03;64;2022-02-10;22241;22116;19865;23776.0;93.5;93.0;83.6
03;69;2022-02-10;22719;22565;20723;25182.0;90.2;89.6;82.3
03;74;2022-02-10;23107;22959;21060;23121.0;99.0;99.0;91.1
03;79;2022-02-10;14974;14863;13609;15099.0;99.0;98.4;90.1
03;80;2022-02-10;26879;26420;22711;30684.0;87.6;86.1;74.0
04;04;2022-02-10;2;0;0;7352.0;0.0;0.0;0.0
04;11;2022-02-10;178;115;8;3721.0;4.8;3.1;0.2
04;17;2022-02-10;7077;6781;1001;11153.0;63.5;60.8;9.0
04;24;2022-02-10;9356;9063;4772;9366.0;99.0;96.8;51.0
