reg;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel
01;04;2022-02-10;15;7;1;18024.0;0.1;0.0;0.0
01;11;2022-02-10;127;75;6;9848.0;1.3;0.8;0.1
01;17;2022-02-10;8109;7548;683;31305.0;25.9;24.1;2.2
01;24;2022-02-10;12656;11687;3817;27093.0;46.7;43.1;14.1
01;29;2022-02-10;6477;5992;2093;16795.0;38.6;35.7;12.5
01;39;2022-02-10;16233;15303;6233;37149.0;43.7;41.2;16.8
01;49;2022-02-10;21541;20581;9949;48928.0;44.0;42.1;20.3
01;59;2022-02-10;28310;27127;14526;60524.0;46.8;44.8;24.0
01;09;2022-02-10;80;22;0;22110.0;0.4;0.1;0.0
01;64;2022-02-10;13384;12878;7538;27495.0;48.7;46.8;27.4
01;69;2022-02-10;12447;12058;7819;23618.0;52.7;51.1;33.1
01;74;2022-02-10;10735;10409;6789;19823.0;54.2;52.5;34.2
01;79;2022-02-10;7550;7306;4689;13239.0;57.0;55.2;35.4
01;80;2022-02-10;8369;7929;4377;20928.0;40.0;37.9;20.9
02;04;2022-02-10;18;8;7;15550.0;0.1;0.1;0.0
02;11;2022-02-10;153;102;3;8430.0;1.8;1.2;0.0
02;17;2022-02-10;7719;7207;674;26182.0;29.5;27.5;2.6
02;24;2022-02-10;11571;10695;3614;24337.0;47.5;43.9;14.8
02;29;2022-02-10;6288;5889;2115;15561.0;40.4;37.8;13.6
02;39;2022-02-10;16541;15711;6797;34280.0;48.3;45.8;19.8
02;49;2022-02-10;19913;19093;9910;42967.0;46.3;44.4;23.1
02;59;2022-02-10;28523;27473;15359;62671.0;45.5;43.8;24.5
02;09;2022-02-10;89;38;0;18441.0;0.5;0.2;0.0
02;64;2022-02-10;14357;13904;8400;28516.0;50.3;48.8;29.5
02;69;2022-02-10;12958;12587;8519;24040.0;53.9;52.4;35.4
02;74;2022-02-10;10953;10681;7397;19607.0;55.9;54.5;37.7
02;79;2022-02-10;7591;7377;5030;13902.0;54.6;53.1;36.2
02;80;2022-02-10;9642;9219;5575;24265.0;39.7;38.0;23.0
03;04;2022-02-10;41;21;1;32085.0;0.1;0.1;0.0
03;11;2022-02-10;266;147;3;12235.0;2.2;1.2;0.0
03;17;2022-02-10;8733;7464;667;35925.0;24.3;20.8;1.9
03;24;2022-02-10;12421;10690;2987;30954.0;40.1;34.5;9.6
03;29;2022-02-10;8058;7040;2145;19945.0;40.4;35.3;10.8
03;39;2022-02-10;18633;16614;6297;39602.0;47.1;42.0;15.9
03;49;2022-02-10;17455;15829;7013;34757.0;50.2;45.5;20.2
03;59;2022-02-10;15104;13895;7218;27026.0;55.9;51.4;26.7
03;09;2022-02-10;284;137;1;29958.0;0.9;0.5;0.0
03;64;2022-02-10;5505;5153;2904;10200.0;54.0;50.5;28.5
03;69;2022-02-10;3836;3594;2076;7246.0;52.9;49.6;28.7
03;74;2022-02-10;2477;2327;1335;4665.0;53.1;49.9;28.6
03;79;2022-02-10;1408;1324;802;2703.0;52.1;49.0;29.7
03;80;2022-02-10;1230;1139;635;3390.0;36.3;33.6;18.7
04;04;2022-02-10;41;14;5;57908.0;0.1;0.0;0.0
04;11;2022-02-10;997;594;20;27281.0;3.7;2.2;0.1
04;17;2022-02-10;53300;49840;4602;82143.0;64.9;60.7;5.6
04;24;2022-02-10;62887;60025;24202;74456.0;84.5;80.6;32.5
04;29;2022-02-10;36725;35188;15045;48787.0;75.3;72.1;30.8
04;39;2022-02-10;85927;83164;41714;104568.0;82.2;79.5;39.9
04;49;2022-02-10;93202;91009;54626;113615.0;82.0;80.1;48.1
04;59;2022-02-10;101862;99876;67830;125597.0;81.1;79.5;54.0
04;09;2022-02-10;725;399;0;63783.0;1.1;0.6;0.0
04;64;2022-02-10;41085;40352;29754;49376.0;83.2;81.7;60.3
04;69;2022-02-10;34045;33478;25663;40475.0;84.1;82.7;63.4
04;74;2022-02-10;23816;23426;17931;27194.0;87.6;86.1;65.9
04;79;2022-02-10;15685;15399;11383;19499.0;80.4;79.0;58.4
04;80;2022-02-10;18207;17683;12161;25277.0;72.0;70.0;48.1
06;04;2022-02-10;108;46;2;43940.0;0.2;0.1;0.0
06;11;2022-02-10;347;175;0;15296.0;2.3;1.1;0.0
06;17;2022-02-10;26302;19518;520;41197.0;63.8;47.4;1.3
06;24;2022-02-10;26197;21502;2609;26827.0;97.7;80.2;9.7
06;29;2022-02-10;17184;14494;2162;18625.0;92.3;77.8;11.6
06;39;2022-02-10;34135;29917;6045;37697.0;90.6;79.4;16.0
06;49;2022-02-10;27442;24821;7429;28132.0;97.5;88.2;26.4
06;59;2022-02-10;15656;14382;5883;14768.0;99.0;97.4;39.8
06;09;2022-02-10;113;46;1;41023.0;0.3;0.1;0.0
06;64;2022-02-10;4666;4320;1926;4594.0;99.0;94.0;41.9
06;69;2022-02-10;2944;2706;1136;3152.0;93.4;85.9;36.0
06;74;2022-02-10;1706;1525;579;1775.0;96.1;85.9;32.6
06;79;2022-02-10;887;771;256;1259.0;70.5;61.2;20.3
06;80;2022-02-10;764;635;190;1186.0;64.4;53.5;16.0
07;04;2022-02-10;3;3;1;517.0;0.6;0.6;0.2
07;11;2022-02-10;13;8;1;183.0;7.1;4.4;0.5
07;17;2022-02-10;349;322;73;540.0;64.6;59.6;13.5
07;24;2022-02-10;695;646;339;757.0;91.8;85.3;44.8
07;29;2022-02-10;848;809;467;960.0;88.3;84.3;48.6
07;39;2022-02-10;1840;1772;1054;1752.0;99.0;99.0;60.2
07;49;2022-02-10;1712;1665;1026;1808.0;94.7;92.1;56.7
07;59;2022-02-10;1698;1648;1118;1548.0;99.0;99.0;72.2
07;09;2022-02-10;5;3;1;517.0;1.0;0.6;0.2
07;64;2022-02-10;501;487;340;433.0;99.0;99.0;78.5
07;69;2022-02-10;356;341;261;309.0;99.0;99.0;84.5
07;74;2022-02-10;239;229;178;251.0;95.2;91.2;70.9
07;79;2022-02-10;164;161;118;170.0;96.5;94.7;69.4
07;80;2022-02-10;133;128;88;216.0;61.6;59.3;40.7
08;04;2022-02-10;10;4;0;2722.2;0.4;0.1;0.0
08;11;2022-02-10;18;12;3;1223.3;1.5;1.0;0.2
08;17;2022-02-10;845;771;61;3969.8;21.3;19.4;1.5
08;24;2022-02-10;1212;1092;323;2459.1;49.3;44.4;13.1
08;29;2022-02-10;808;733;195;2086.3;38.7;35.1;9.3
08;39;2022-02-10;2320;2140;693;4598.4;50.5;46.5;15.1
08;49;2022-02-10;2535;2374;1034;5612.0;45.2;42.3;18.4
08;59;2022-02-10;2989;2825;1385;5042.5;59.3;56.0;27.5
08;09;2022-02-10;29;15;0;2990.8;1.0;0.5;0.0
08;64;2022-02-10;1185;1136;553;1727.8;68.6;65.7;32.0
08;69;2022-02-10;838;790;427;1332.2;62.9;59.3;32.1
08;74;2022-02-10;567;543;330;766.5;74.0;70.8;43.1
08;79;2022-02-10;332;317;198;386.4;85.9;82.0;51.2
08;80;2022-02-10;235;216;112;416.7;56.4;51.8;26.9
11;04;2022-02-10;392;132;34;793690.0;0.0;0.0;0.0
11;11;2022-02-10;23262;15456;438;315880.0;7.4;4.9;0.1
11;17;2022-02-10;701568;678343;91821;919611.0;76.3;73.8;10.0
11;24;2022-02-10;942418;925600;543237;1099492.0;85.7;84.2;49.4
11;29;2022-02-10;777101;765782;462316;863043.0;90.0;88.7;53.6
11;39;2022-02-10;1570625;1547947;957170;1757848.0;89.3;88.1;54.5
11;49;2022-02-10;1529735;1513219;1051784;1671811.0;91.5;90.5;62.9
11;59;2022-02-10;1461038;1448977;1143294;1538636.0;95.0;94.2;74.3
11;09;2022-02-10;21164;13266;108;801166.0;2.6;1.7;0.0
11;64;2022-02-10;595088;590514;493795;631296.0;94.3;93.5;78.2
11;69;2022-02-10;488179;484162;419480;546545.0;89.3;88.6;76.8
11;74;2022-02-10;456967;453414;401556;480366.0;95.1;94.4;83.6
11;79;2022-02-10;294738;292112;258585;312596.0;94.3;93.4;82.7
11;80;2022-02-10;475388;467167;395538;546230.0;87.0;85.5;72.4
24;04;2022-02-10;36;11;2;131083.0;0.0;0.0;0.0
24;11;2022-02-10;6156;3446;71;63840.0;9.6;5.4;0.1
24;17;2022-02-10;167778;162912;26415;190351.0;88.1;85.6;13.9
24;24;2022-02-10;191095;187971;124428;184324.0;99.0;99.0;67.5
24;29;2022-02-10;115460;113332;73510;124422.0;92.8;91.1;59.1
24;39;2022-02-10;257207;253260;174160;292368.0;88.0;86.6;59.6
24;49;2022-02-10;289430;286607;222951;320587.0;90.3;89.4;69.5
24;59;2022-02-10;320181;317968;273216;340563.0;94.0;93.4;80.2
24;09;2022-02-10;4833;2500;5;153323.0;3.2;1.6;0.0
24;64;2022-02-10;154472;153571;138897;166953.0;92.5;92.0;83.2
24;69;2022-02-10;150877;150045;138445;163733.0;92.1;91.6;84.6
24;74;2022-02-10;149612;148730;138469;148237.0;99.0;99.0;93.4
24;79;2022-02-10;93474;92779;85948;91784.0;99.0;99.0;93.6
