dep;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel
01;2022-02-10;487490;481263;338504;656955.0;74.2;73.3;51.5
02;2022-02-10;418064;411042;303814;526050.0;79.5;78.1;57.8
03;2022-02-10;271936;268353;207457;331315.0;82.1;81.0;62.6
04;2022-02-10;118793;116576;83131;165197.0;71.9;70.6;50.3
05;2022-02-10;109206;107351;76266;141756.0;77.0;75.7;53.8
06;2022-02-10;855391;839813;595092;1079396.0;79.2;77.8;55.1
07;2022-02-10;250005;246435;177540;326875.0;76.5;75.4;54.3
08;2022-02-10;213016;209769;157819;265531.0;80.2;79.0;59.4
09;2022-02-10;114148;112134;82068;152398.0;74.9;73.6;53.9
10;2022-02-10;237449;234125;173749;309907.0;76.6;75.5;56.1
11;2022-02-10;288083;283163;207311;372705.0;77.3;76.0;55.6
12;2022-02-10;218964;215782;159870;278360.0;78.7;77.5;57.4
13;2022-02-10;1487828;1457707;992660;2034469.0;73.1;71.7;48.8
14;2022-02-10;578548;570498;436885;691453.0;83.7;82.5;63.2
15;2022-02-10;119119;117679;91894;142811.0;83.4;82.4;64.3
16;2022-02-10;285458;281281;215346;348180.0;82.0;80.8;61.8
17;2022-02-10;555240;547074;415330;647080.0;85.8;84.5;64.2
18;2022-02-10;241532;237901;183039;296404.0;81.5;80.3;61.8
19;2022-02-10;194233;191586;145474;240336.0;80.8;79.7;60.5
21;2022-02-10;419341;413490;305038;532886.0;78.7;77.6;57.2
22;2022-02-10;510667;503256;387604;596186.0;85.7;84.4;65.0
23;2022-02-10;91679;90324;71067;116270.0;78.9;77.7;61.1
24;2022-02-10;332090;326400;248534;408393.0;81.3;79.9;60.9
25;2022-02-10;403323;397680;279444;539449.0;74.8;73.7;51.8
26;2022-02-10;395027;389402;273845;520560.0;75.9;74.8;52.6
27;2022-02-10;479449;472198;347464;600687.0;79.8;78.6;57.8
28;2022-02-10;342833;337665;251919;429425.0;79.8;78.6;58.7
29;2022-02-10;775765;764589;598414;906554.0;85.6;84.3;66.0
2A;2022-02-10;113388;111325;79159;162421.0;69.8;68.5;48.7
2B;2022-02-10;121791;119448;85559;182258.0;66.8;65.5;46.9
30;2022-02-10;578107;567938;404938;748468.0;77.2;75.9;54.1
31;2022-02-10;1080499;1064367;751315;1400935.0;77.1;76.0;53.6
32;2022-02-10;155008;152652;116128;190040.0;81.6;80.3;61.1
33;2022-02-10;1331448;1311145;956814;1633440.0;81.5;80.3;58.6
34;2022-02-10;918293;903109;640735;1176145.0;78.1;76.8;54.5
35;2022-02-10;884802;872376;640489;1082073.0;81.8;80.6;59.2
36;2022-02-10;177536;174803;136874;217139.0;81.8;80.5;63.0
37;2022-02-10;498827;492306;371693;605380.0;82.4;81.3;61.4
38;2022-02-10;1004931;992010;699364;1264979.0;79.4;78.4;55.3
39;2022-02-10;199574;196794;143197;257849.0;77.4;76.3;55.5
40;2022-02-10;352651;348012;263536;411979.0;85.6;84.5;64.0
41;2022-02-10;270648;266647;205134;327835.0;82.6;81.3;62.6
42;2022-02-10;589986;582764;413693;764737.0;77.1;76.2;54.1
43;2022-02-10;177000;174723;125214;226901.0;78.0;77.0;55.2
44;2022-02-10;1171710;1155923;840748;1437137.0;81.5;80.4;58.5
45;2022-02-10;535371;527089;390530;682890.0;78.4;77.2;57.2
46;2022-02-10;136074;133996;101030;173166.0;78.6;77.4;58.3
47;2022-02-10;261332;257016;187647;330336.0;79.1;77.8;56.8
48;2022-02-10;57665;56877;40821;76286.0;75.6;74.6;53.5
49;2022-02-10;662302;653822;482895;815881.0;81.2;80.1;59.2
50;2022-02-10;421078;415318;322526;490669.0;85.8;84.6;65.7
51;2022-02-10;442815;436147;326555;563823.0;78.5;77.4;57.9
52;2022-02-10;135268;133376;102195;169250.0;79.9;78.8;60.4
53;2022-02-10;251009;247762;186427;305365.0;82.2;81.1;61.1
54;2022-02-10;567709;559313;419630;730398.0;77.7;76.6;57.5
55;2022-02-10;145266;142900;109182;181641.0;80.0;78.7;60.1
56;2022-02-10;644970;636190;480815;755566.0;85.4;84.2;63.6
57;2022-02-10;809254;797441;593719;1035866.0;78.1;77.0;57.3
58;2022-02-10;165065;162742;127464;199596.0;82.7;81.5;63.9
59;2022-02-10;2016230;1985755;1452973;2588988.0;77.9;76.7;56.1
60;2022-02-10;633838;623953;438237;825077.0;76.8;75.6;53.1
61;2022-02-10;226256;222955;171082;276903.0;81.7;80.5;61.8
62;2022-02-10;1193631;1176324;891294;1452778.0;82.2;81.0;61.4
63;2022-02-10;526450;520083;387683;660240.0;79.7;78.8;58.7
64;2022-02-10;561165;553597;410052;683169.0;82.1;81.0;60.0
65;2022-02-10;183769;180999;136052;226839.0;81.0;79.8;60.0
