"thedate","agcl","inj","dep","txEPCI","txRes","txSPF","txEPCIw","txResw","txSPFw","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","date"
"2021-01-03","00-39","1","2A",NA,NA,0,NA,NA,0,0,0,57550,0,0,0,0,0,47778,0,0,0,0,0,66540,66540,0,0,2021-01-03
"2021-01-10","00-39","1","2A",NA,0.000709043854362392,0.000285542530808536,NA,0.000709043854362392,0.000285542530808536,0,0,115100,0,0,0,20,20,95556,28207,20,20,19,19,66540,66540,19,19,2021-01-10
"2021-01-17","00-39","1","2A",0.00352112676056338,0.00177260963590598,0.000826570483919447,0.00176056338028169,0.00106356578154359,0.000541027953110911,20,20,57550,5680,10,10,50,50,47778,28207,30,30,55,55,66540,66540,36,36,2021-01-17
"2021-01-24","00-39","1","2A",0.00309597523219814,0.00354521927181196,0.00177336940186354,0.00177200236266982,0.00212713156308718,0.000946798917944094,70,70,57550,22610,30,30,100,100,47778,28207,60,60,118,118,66540,66540,63,63,2021-01-24
"2021-01-31","00-39","1","2A",0.00457380457380457,0.00443933775526192,0.00264502554854223,0.00177200236266982,0.00130568757507704,0.00087165614667869,110,110,57550,24050,30,30,170,170,47778,38294,50,50,176,176,66540,66540,58,58,2021-01-31
"2021-02-07","00-39","1","2A",0.00515873015873016,0.00496161278529274,0.00303576795912233,0.000590667454223272,0.000709043854362392,0.000390742410580102,130,130,57550,25200,10,10,190,190,47778,38294,20,20,202,202,66540,66540,26,26,2021-02-07
"2021-02-14","00-39","1","2A",0.00634920634920635,0.00574502533033896,0.00354673880372708,0.00118133490844654,0.00106356578154359,0.000510970844604749,160,160,57550,25200,20,20,220,220,47778,38294,30,30,236,236,66540,66540,34,34,2021-02-14
"2021-02-21","00-39","1","2A",0.00760938490805327,0.00757298793544681,0.00464382326420198,0.00236266981689309,0.00182796260510785,0.0010970844604749,240,240,57550,31540,40,40,290,290,47778,38294,70,70,309,309,66540,66540,73,73,2021-02-21
"2021-02-28","00-39","1","2A",0.00951173113506658,0.00940095054055466,0.00551547941088067,0.00177200236266982,0.00212713156308718,0.00087165614667869,300,300,57550,31540,30,30,360,360,47778,38294,60,60,367,367,66540,66540,58,58,2021-02-28
"2021-03-07","00-39","1","2A",0.0161699429296132,0.0156682509009244,0.0098136459272618,0.00793650793650794,0.00652843787538518,0.00429816651638112,510,510,57550,31540,200,200,600,600,47778,38294,250,250,653,653,66540,66540,286,286,2021-03-07
"2021-03-14","00-39","1","2A",0.023145212428662,0.022457826291325,0.0140216411181244,0.00900900900900901,0.00678957539040059,0.00420799519086264,730,730,57550,31540,200,200,860,860,47778,38294,260,260,933,933,66540,66540,280,280,2021-03-14
"2021-03-21","00-39","1","2A",0.0214554302145543,0.0297696767117564,0.0184250075142771,0.00730897009966777,0.00705071290541599,0.00440336639615269,970,970,57550,45210,220,220,1140,1140,47778,38294,270,270,1226,1226,66540,66540,293,293,2021-03-21
"2021-03-28","00-39","1","2A",0.0276487502764875,0.0381260771922494,0.0236699729486023,0.0114660114660115,0.00861753799550843,0.00524496543432522,1250,1250,57550,45210,280,280,1460,1460,47778,38294,330,330,1575,1575,66540,66540,349,349,2021-03-28
"2021-04-04","00-39","1","2A",0.0338420703384207,0.0464824776727425,0.0289600240456868,0.00968436154949785,0.00809526296547762,0.00529005109708446,1530,1530,57550,45210,270,270,1780,1780,47778,38294,310,310,1927,1927,66540,66540,352,352,2021-04-04
"2021-04-11","00-39","1","2A",0.0429108604291086,0.0468835028674285,0.0367297865945296,0.0129568106312292,0.0117511881756933,0.0077697625488428,1940,1940,57550,45210,390,390,2240,2240,47778,47778,450,450,2444,2444,66540,66540,517,517,2021-04-11
"2021-04-18","00-39","1","2A",0.0559610705596107,0.0609066934572397,0.0480613165013526,0.018936877076412,0.0174962135060323,0.011331529906823,2530,2530,57550,45210,570,570,2910,2910,47778,47778,670,670,3198,3198,66540,66540,754,754,2021-04-18
"2021-04-25","00-39","1","2A",0.0712231807122318,0.0776508016241785,0.0626991283438533,0.0221940393151554,0.0208910012012326,0.0146378118425008,3220,3220,57550,45210,700,700,3710,3710,47778,47778,800,800,4172,4172,66540,66540,974,974,2021-04-25
"2021-05-02","00-39","1","2A",0.0955540809555408,0.104859977395454,0.0853321310489931,0.024330900243309,0.0334256019219721,0.0226330027051398,4320,4320,57550,45210,1100,1100,5010,5010,47778,47778,1280,1280,5678,5678,66540,66540,1506,1506,2021-05-02
"2021-05-09","00-39","1","2A",0.103512705530643,0.133534262631337,0.111136158701533,0.0258792302587923,0.0288835865879694,0.0258040276525398,5540,5540,57550,53520,1170,1170,6380,6380,47778,47778,1380,1380,7395,7395,66540,66540,1717,1717,2021-05-09
"2021-05-16","00-39","1","2A",0.120668206859783,0.163673657331826,0.142425608656447,0.024497112129058,0.029930093348403,0.0312894499549143,6790,6790,57550,56270,1230,1230,7820,7820,47778,47778,1430,1430,9477,9477,66540,66540,2082,2082,2021-05-16
