"thedate","agcl","inj","dep","txEPCI","txRes","txSPF","txEPCIw","txResw","txSPFw","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","date"
"2021-01-03","00-39","1","2B",NA,NA,0,NA,NA,0,0,0,60240,0,0,0,0,0,54713,0,0,0,0,0,79000,79000,0,0,2021-01-03
"2021-01-10","00-39","1","2B",NA,0.000300769971126083,0.000126582278481013,NA,0.000300769971126083,0.000126582278481013,0,0,120480,0,0,0,10,10,109426,33248,10,10,10,10,79000,79000,10,10,2021-01-10
"2021-01-17","00-39","1","2B",0.00196270853778214,0.00120307988450433,0.000468354430379747,NA,0.000601539942252166,0.000341772151898734,20,20,60240,10190,0,0,40,40,54713,33248,20,20,37,37,79000,79000,27,27,2021-01-17
"2021-01-24","00-39","1","2B",0.00375,0.00270692974013475,0.00113924050632911,0.001875,0.00150384985563041,0.000670886075949367,60,60,60240,16000,30,30,90,90,54713,33248,50,50,90,90,79000,79000,53,53,2021-01-24
"2021-01-31","00-39","1","2B",0.005,0.00302255289467566,0.00155696202531646,0.00196270853778214,0.00120307988450433,0.000417721518987342,80,80,60240,16000,20,20,130,130,54713,43010,40,40,123,123,79000,79000,33,33,2021-01-31
"2021-02-07","00-39","1","2B",0.00626067159931702,0.00395256916996047,0.00188607594936709,NA,0.000601539942252166,0.000329113924050633,110,110,60240,17570,0,0,170,170,54713,43010,20,20,149,149,79000,79000,26,26,2021-02-07
"2021-02-14","00-39","1","2B",0.00712468193384224,0.00465008137642409,0.00237974683544304,0.00196270853778214,0.000902309913378248,0.000493670886075949,140,140,60240,19650,20,20,200,200,54713,43010,30,30,188,188,79000,79000,39,39,2021-02-14
"2021-02-21","00-39","1","2B",0.00865139949109415,0.00604510578935131,0.0030506329113924,0.00294406280667321,0.00150384985563041,0.000670886075949367,170,170,60240,19650,30,30,260,260,54713,43010,50,50,241,241,79000,79000,53,53,2021-02-21
"2021-02-28","00-39","1","2B",0.00953961012028204,0.00697512206463613,0.00370886075949367,0.00294406280667321,0.00150384985563041,0.000658227848101266,230,230,60240,24110,30,30,300,300,54713,43010,50,50,293,293,79000,79000,52,52,2021-02-28
"2021-03-07","00-39","1","2B",0.0127484064491939,0.00976517089049058,0.00505063291139241,0.00305343511450382,0.00330846968238691,0.00134177215189873,340,340,60240,26670,60,60,420,420,54713,43010,110,110,399,399,79000,79000,106,106,2021-03-07
"2021-03-14","00-39","1","2B",0.0155615696887686,0.0127877237851662,0.00656962025316456,0.004375,0.00279004882585445,0.00151898734177215,460,460,60240,29560,70,70,550,550,54713,43010,120,120,519,519,79000,79000,120,120,2021-03-14
"2021-03-21","00-39","1","2B",0.0188912976153608,0.0167402929551267,0.00873417721518987,0.00497787610619469,0.00395256916996047,0.00216455696202532,610,610,60240,32290,90,90,720,720,54713,43010,170,170,690,690,79000,79000,171,171,2021-03-21
"2021-03-28","00-39","1","2B",0.0266336327036234,0.0234829109509416,0.012379746835443,0.00923206042803189,0.00674261799581493,0.00364556962025316,860,860,60240,32290,220,220,1010,1010,54713,43010,290,290,978,978,79000,79000,288,288,2021-03-28
"2021-04-04","00-39","1","2B",0.034375967791886,0.0297605208091142,0.0159873417721519,0.00810445745159838,0.00627760985817252,0.00360759493670886,1110,1110,60240,32290,180,180,1280,1280,54713,43010,270,270,1263,1263,79000,79000,285,285,2021-04-04
"2021-04-11","00-39","1","2B",0.0461443171260452,0.0411532201813532,0.0224683544303797,0.0148026315789474,0.011392699372239,0.00648101265822785,1490,1490,60240,32290,360,360,1770,1770,54713,43010,490,490,1775,1775,79000,79000,512,512,2021-04-11
"2021-04-18","00-39","1","2B",0.0569835862496129,0.051150895140665,0.0279873417721519,0.0119676170362548,0.010230179028133,0.00551898734177215,1840,1840,60240,32290,340,340,2200,2200,54713,43010,440,440,2211,2211,79000,79000,436,436,2021-04-18
"2021-04-25","00-39","1","2B",0.0547045951859956,0.0632411067193676,0.0344177215189873,0.0143056524773203,0.0118577075098814,0.00643037974683544,2250,2250,60240,41130,410,410,2720,2720,54713,43010,510,510,2719,2719,79000,79000,508,508,2021-04-25
"2021-05-02","00-39","1","2B",0.0703647744442046,0.0902115787026273,0.0505189873417722,0.0244145490782262,0.0272029760520809,0.0161012658227848,3260,3260,60240,46330,980,980,3880,3880,54713,43010,1170,1170,3991,3991,79000,79000,1272,1272,2021-05-02
"2021-05-09","00-39","1","2B",0.0992877185409022,0.100341783488385,0.0734430379746835,0.0323364940432774,0.0372006510113927,0.0229240506329114,4600,4600,60240,46330,1330,1330,5490,5490,54713,54713,1600,1600,5802,5802,79000,79000,1811,1811,2021-05-09
"2021-05-16","00-39","1","2B",0.111842105263158,0.128305887083508,0.0975443037974684,0.0274120440319447,0.0353406184608231,0.0241012658227848,5950,5950,60240,53200,1270,1270,7020,7020,54713,54713,1520,1520,7706,7706,79000,79000,1904,1904,2021-05-16
"2021-05-23","00-39","1","2B",0.127977248489157,0.15608721875971,0.121177215189873,0.0263328296999784,0.0277813316762013,0.0236329113924051,7200,7200,60240,56260,1220,1220,8540,8540,54713,54713,1520,1520,9573,9573,79000,79000,1867,1867,2021-05-23
"2021-05-30","00-39","1","2B",0.136410788381743,0.171074516111345,0.133949367088608,0.0162898127887187,0.0190653336433388,0.0127721518987342,7890,7890,60240,57840,670,670,9360,9360,54713,54713,820,820,10582,10582,79000,79000,1009,1009,2021-05-30
"2021-06-06","00-39","1","2B",0.146241690813022,0.186792901138669,0.146253164556962,0.0148931577811353,0.0195303417809812,0.0123037974683544,8580,8580,60240,58670,690,690,10220,10220,54713,54713,840,840,11554,11554,79000,79000,972,972,2021-06-06
"2021-06-13","00-39","1","2B",0.159365945116755,0.202694058084916,0.15853164556962,0.0153248435139219,0.0159011569462468,0.0122784810126582,9350,9350,60240,58670,710,710,11090,11090,54713,54713,870,870,12524,12524,79000,79000,970,970,2021-06-13
"2021-06-20","00-39","1","2B",0.166832669322709,0.217133039679784,0.169708860759494,0.0124103160752375,0.0146217535137901,0.0111772151898734,10050,10050,60240,60240,640,640,11880,11880,54713,54713,800,800,13407,13407,79000,79000,883,883,2021-06-20
"2021-06-27","00-39","1","2B",0.175962815405046,0.228647670571893,0.17853164556962,0.010141559264737,0.0113318589731874,0.00882278481012658,10600,10600,60240,60240,480,480,12510,12510,54713,54713,620,620,14104,14104,79000,79000,697,697,2021-06-27
"2021-07-04","00-39","1","2B",0.185756972111554,0.24144170489646,0.188569620253165,0.0106320141760189,0.0127940343245664,0.0100379746835443,11190,11190,60240,60240,540,540,13210,13210,54713,54713,700,700,14897,14897,79000,79000,793,793,2021-07-04
"2021-07-11","00-39","1","2B",0.196215139442231,0.255697914572405,0.199708860759494,0.0122,0.0142562096759454,0.0111392405063291,11820,11820,60240,60240,610,610,13990,13990,54713,54713,780,780,15777,15777,79000,79000,880,880,2021-07-11
"2021-07-18","00-39","1","2B",0.231905710491368,0.300294262789465,0.235860759493671,0.0366637706342311,0.0445963482170599,0.0361518987341772,13970,13970,60240,60240,2110,2110,16430,16430,54713,54713,2440,2440,18633,18633,79000,79000,2856,2856,2021-07-18
"2021-07-25","00-39","1","2B",0.277390438247012,0.358964048763548,0.285822784810127,0.0451102507995287,0.0590353298119277,0.0499620253164557,16710,16710,60240,60240,2680,2680,19640,19640,54713,54713,3230,3230,22580,22580,79000,79000,3947,3947,2021-07-25
"2021-08-01","00-39","1","2B",0.315073041168659,0.409226326467202,0.328784810126582,0.0383466135458167,0.0502622777036536,0.0429620253164557,18980,18980,60240,60240,2310,2310,22390,22390,54713,54713,2750,2750,25974,25974,79000,79000,3394,3394,2021-08-01
"2021-08-08","00-39","1","2B",0.344953519256308,0.447973973278745,0.362443037974684,0.0303784860557769,0.0387476468115439,0.0336582278481013,20780,20780,60240,60240,1830,1830,24510,24510,54713,54713,2120,2120,28633,28633,79000,79000,2659,2659,2021-08-08
"2021-08-15","00-39","1","2B",0.366201859229748,0.476486392630636,0.386645569620253,0.0218560860793544,0.0285124193518908,0.0242025316455696,22060,22060,60240,60240,1300,1300,26070,26070,54713,54713,1560,1560,30545,30545,79000,79000,1912,1912,2021-08-15
"2021-08-22","00-39","1","2B",0.383300132802125,0.498601794820244,0.404772151898734,0.0173004453579993,0.0221154021896076,0.018126582278481,23090,23090,60240,60240,1010,1010,27280,27280,54713,54713,1210,1210,31977,31977,79000,79000,1432,1432,2021-08-22
"2021-08-29","00-39","1","2B",0.397244355909695,0.516696214793559,0.41926582278481,0.0140084388185654,0.0179116480543929,0.0144936708860759,23930,23930,60240,60240,830,830,28270,28270,54713,54713,980,980,33122,33122,79000,79000,1145,1145,2021-08-29
"2021-09-05","00-39","1","2B",0.410524568393094,0.53369400325334,0.432113924050633,0.0139707120013466,0.0173633322976258,0.0128481012658228,24730,24730,60240,60240,830,830,29200,29200,54713,54713,950,950,34137,34137,79000,79000,1015,1015,2021-09-05
"2021-09-12","00-39","1","2B",0.419488711819389,0.545025862226527,0.440493670886076,0.00985221674876847,0.011149087054265,0.00837974683544304,25270,25270,60240,60240,460,460,29820,29820,54713,54713,610,610,34799,34799,79000,79000,662,662,2021-09-12
"2021-09-19","00-39","1","2B",0.427954847277556,0.556174949280792,0.448607594936709,0.0088614910421884,0.011149087054265,0.00811392405063291,25780,25780,60240,60240,460,460,30430,30430,54713,54713,610,610,35440,35440,79000,79000,641,641,2021-09-19
"2021-09-26","00-39","1","2B",0.432104913678619,0.561840878767386,0.452810126582278,0.00493769104161768,0.00603147332443843,0.00420253164556962,26030,26030,60240,60240,210,210,30740,30740,54713,54713,330,330,35772,35772,79000,79000,332,332,2021-09-26
"2021-10-03","00-39","1","2B",0.436088977423639,0.567324036335057,0.456924050632911,0.00435019032082654,0.0054831575676713,0.00411392405063291,26270,26270,60240,60240,160,160,31040,31040,54713,54713,300,300,36097,36097,79000,79000,325,325,2021-10-03
"2021-10-10","00-39","1","2B",0.440239043824701,0.572258878145962,0.460594936708861,0.00466045272969374,0.00511761372982655,0.00367088607594937,26520,26520,60240,60240,140,140,31310,31310,54713,54713,280,280,36387,36387,79000,79000,290,290,2021-10-10
"2021-10-17","00-39","1","2B",0.444223107569721,0.577559263794711,0.464455696202532,0.00452970956568079,0.00530038564874893,0.00386075949367089,26760,26760,60240,60240,170,170,31600,31600,54713,54713,290,290,36692,36692,79000,79000,305,305,2021-10-17
"2021-10-24","00-39","1","2B",0.447543160690571,0.581397474092081,0.46753164556962,0.003830194701564,0.00402098221629229,0.00307594936708861,26960,26960,60240,60240,120,120,31810,31810,54713,54713,220,220,36935,36935,79000,79000,243,243,2021-10-24
"2021-01-03","40-64","1","2B",NA,NA,0,NA,NA,0,0,0,54210,0,0,0,0,0,60390,0,0,0,0,0,59653,59653,0,0,2021-01-03
"2021-01-10","40-64","1","2B",0.00520833333333333,0.00281503560192085,0.00284981476204047,0.00473484848484848,0.00281503560192085,0.00284981476204047,110,110,108420,21120,100,100,170,170,120780,60390,170,170,170,170,59653,59653,170,170,2021-01-10
"2021-01-17","40-64","1","2B",0.0132297958009779,0.00993541977148535,0.01010846059712,0.00952986022871665,0.0071203841695645,0.00725864583507954,460,460,54210,34770,300,300,600,600,60390,60390,430,430,603,603,59653,59653,433,433,2021-01-17
"2021-01-24","40-64","1","2B",0.0176090784582274,0.0165590329524756,0.0168809615610279,0.00816839459629281,0.00662361318099023,0.00677250096390793,900,900,54210,51110,260,260,1000,1000,60390,60390,400,400,1007,1007,59653,59653,404,404,2021-01-24
"2021-01-31","40-64","1","2B",0.0204759269507471,0.0198708395429707,0.0200660486480144,0.00399201596806387,0.00331180659049512,0.0031850870869864,1110,1110,54210,54210,100,100,1200,1200,60390,60390,200,200,1197,1197,59653,59653,190,190,2021-01-31
"2021-02-07","40-64","1","2B",0.0232429441062535,0.0228514654744163,0.023267899351248,0.00319197446420429,0.00314621626097036,0.0032018507032337,1260,1260,54210,54210,70,70,1380,1380,60390,60390,190,190,1388,1388,59653,59653,191,191,2021-02-07
"2021-02-14","40-64","1","2B",0.0273012359343295,0.0266600430534857,0.0271570583206209,0.00466954022988506,0.00380857757906938,0.00388915896937287,1480,1480,54210,54210,130,130,1610,1610,60390,60390,230,230,1620,1620,59653,59653,232,232,2021-02-14
"2021-02-21","40-64","1","2B",0.0298837852794687,0.029143897996357,0.029587782676479,0.00311405216037369,0.00248385494287134,0.00243072435585805,1620,1620,54210,54210,80,80,1760,1760,60390,60390,150,150,1765,1765,59653,59653,145,145,2021-02-21
"2021-02-28","40-64","1","2B",0.0339420771075447,0.0334492465640007,0.0339630865170235,0.0056757715501951,0.00430534856764365,0.00437530384054448,1840,1840,54210,54210,160,160,2020,2020,60390,60390,260,260,2026,2026,59653,59653,261,261,2021-02-28
"2021-03-07","40-64","1","2B",0.0503597122302158,0.0493459181983772,0.0498717583357082,0.016530612244898,0.0158966716343766,0.0159086718186847,2730,2730,54210,54210,810,810,2980,2980,60390,60390,960,960,2975,2975,59653,59653,949,949,2021-03-07
"2021-03-14","40-64","1","2B",0.0675152185943553,0.0670640834575261,0.0677585368715739,0.0175244419848736,0.0177181652591489,0.0178867785358658,3660,3660,54210,54210,950,950,4050,4050,60390,60390,1070,1070,4042,4042,59653,59653,1067,1067,2021-03-14
"2021-03-21","40-64","1","2B",0.087253274303634,0.0869349230004968,0.0887633480294369,0.0205785284410794,0.0198708395429707,0.021004811157863,4730,4730,54210,54210,1060,1060,5250,5250,60390,60390,1200,1200,5295,5295,59653,59653,1253,1253,2021-03-21
"2021-03-28","40-64","1","2B",0.12174875484228,0.121543301871171,0.125525958459759,0.0348644161593802,0.034608378870674,0.036762610430322,6600,6600,54210,54210,1890,1890,7340,7340,60390,60390,2090,2090,7488,7488,59653,59653,2193,2193,2021-03-28
"2021-04-04","40-64","1","2B",0.166389964951116,0.16608710051333,0.172665247347158,0.0448256779192031,0.0447093889716841,0.0471392888873988,9020,9020,54210,54210,2430,2430,10030,10030,60390,60390,2700,2700,10300,10300,59653,59653,2812,2812,2021-04-04
"2021-04-11","40-64","1","2B",0.225973067699686,0.224209306176519,0.234824736392134,0.058845231507102,0.0579566153336645,0.0621594890449768,12250,12250,54210,54210,3190,3190,13540,13540,60390,60390,3500,3500,14008,14008,59653,59653,3708,3708,2021-04-11
"2021-04-18","40-64","1","2B",0.274119166205497,0.271568140420599,0.285786129783917,0.048699501936912,0.0475244245736049,0.0509613933917825,14860,14860,54210,54210,2640,2640,16400,16400,60390,60390,2870,2870,17048,17048,59653,59653,3040,3040,2021-04-18
"2021-04-25","40-64","1","2B",0.318575908503966,0.316277529392283,0.334702361993529,0.0450101457295702,0.0447093889716841,0.0489162322096123,17270,17270,54210,54210,2440,2440,19100,19100,60390,60390,2700,2700,19966,19966,59653,59653,2918,2918,2021-04-25
"2021-05-02","40-64","1","2B",0.365061796716473,0.361980460341116,0.383870048446851,0.0468548238332411,0.0457029309488326,0.0491676864533217,19790,19790,54210,54210,2540,2540,21860,21860,60390,60390,2760,2760,22899,22899,59653,59653,2933,2933,2021-05-02
"2021-05-09","40-64","1","2B",0.411732152739347,0.408345752608048,0.435200241396074,0.0470392916436082,0.0463652922669316,0.051330192949223,22320,22320,54210,54210,2550,2550,24660,24660,60390,60390,2800,2800,25961,25961,59653,59653,3062,3062,2021-05-09
"2021-05-16","40-64","1","2B",0.453975281313411,0.448749793012088,0.482842438770892,0.0411363217118613,0.0405696307335652,0.0476421973748177,24610,24610,54210,54210,2230,2230,27100,27100,60390,60390,2450,2450,28803,28803,59653,59653,2842,2842,2021-05-16
"2021-05-23","40-64","1","2B",0.490130972145361,0.484186123530386,0.523460680938092,0.036524626452684,0.0354363305182977,0.0406182421672003,26570,26570,54210,54210,1980,1980,29240,29240,60390,60390,2140,2140,31226,31226,59653,59653,2423,2423,2021-05-23
