"thedate","agcl","inj","dep","txEPCI","txRes","txSPF","txEPCIw","txResw","txSPFw","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","date"
"2021-01-03","00-39","1","60",NA,NA,2.45217041603523e-06,NA,NA,2.45217041603523e-06,0,0,383390,0,0,0,0,0,284722,0,0,0,1,1,407802,407802,1,1,2021-01-03
"2021-01-10","00-39","1","60",0.00116776956014013,0.000458736639295381,0.00021088665577903,0.00116776956014013,0.000458736639295381,0.000208434485362995,30,30,766780,25690,30,30,70,70,569444,152593,70,70,86,86,407802,407802,85,85,2021-01-10
"2021-01-17","00-39","1","60",0.00217881292261458,0.00188493614204143,0.000975963825582023,0.00169163847269212,0.00160909182857195,0.000765077169802993,290,290,383390,133100,210,210,410,410,284722,217514,350,350,398,398,407802,407802,312,312,2021-01-17
"2021-01-24","00-39","1","60",0.00401843120445778,0.00399974254530743,0.00213584043236669,0.00240052811618556,0.002114806403266,0.00115987660678467,750,750,383390,186640,400,400,870,870,284722,217514,460,460,871,871,407802,407802,473,473,2021-01-24
"2021-01-31","00-39","1","60",0.00477064220183486,0.00468935332898112,0.0024987616539399,0.000665483584738243,0.000643636731428782,0.000362921221573214,910,910,383390,190750,30,30,1020,1020,284722,217514,140,140,1019,1019,407802,407802,148,148,2021-01-31
"2021-02-07","00-39","1","60",0.00482306684141547,0.00487324953796077,0.00261156149307752,NA,0.000262135222454503,0.000112799839137621,920,920,383390,190750,0,0,1060,1060,284722,217514,40,40,1065,1065,407802,407802,46,46,2021-02-07
"2021-02-14","00-39","1","60",0.00671035386631717,0.00652831541877764,0.00338889951496069,0.00201119272472893,0.00165506588081687,0.000777338021883169,1280,1280,383390,190750,230,230,1420,1420,284722,217514,360,360,1382,1382,407802,407802,317,317,2021-02-14
"2021-02-21","00-39","1","60",0.00802096985583224,0.00786156293388012,0.00390385530232809,0.00145466300307096,0.00137922156734739,0.000514955787367399,1530,1530,383390,190750,180,180,1710,1710,284722,217514,300,300,1592,1592,407802,407802,210,210,2021-02-21
"2021-02-28","00-39","1","60",0.00927916120576671,0.00914883639673768,0.00458310650756985,0.00142818887797911,0.00128727346285756,0.00067925120524176,1770,1770,383390,190750,160,160,1990,1990,284722,217514,280,280,1869,1869,407802,407802,277,277,2021-02-28
"2021-03-07","00-39","1","60",0.0116382699868938,0.0114015649567384,0.0054707921981746,0.00251889168765743,0.00225272856000074,0.000887685690604754,2220,2220,383390,190750,400,400,2480,2480,284722,217514,490,490,2231,2231,407802,407802,362,362,2021-03-07
"2021-03-14","00-39","1","60",0.0152031454783748,0.0116253749271219,0.00719957234147944,0.00377457404980341,0.00376987228408286,0.00172878014330484,2900,2900,383390,190750,720,720,3310,3310,284722,284722,820,820,2936,2936,407802,407802,705,705,2021-03-14
"2021-03-21","00-39","1","60",0.0184010484927916,0.0140136694740835,0.0089921089156012,0.00334814985856953,0.003172209604899,0.00179253657412176,3510,3510,383390,190750,580,580,3990,3990,284722,284722,690,690,3667,3667,407802,407802,731,731,2021-03-21
"2021-03-28","00-39","1","60",0.0206887346502936,0.0186146486748477,0.0120548697652292,0.00581913499344692,0.00593065273959377,0.00306276084962801,4650,4650,383390,224760,1110,1110,5300,5300,284722,284722,1290,1290,4916,4916,407802,407802,1249,1249,2021-03-28
"2021-04-04","00-39","1","60",0.0258942872397224,0.0234614817260345,0.0148062049720207,0.00629095674967235,0.0063903932620429,0.00275133520679153,5820,5820,383390,224760,1200,1200,6680,6680,284722,284722,1390,1390,6038,6038,407802,407802,1122,1122,2021-04-04
"2021-04-11","00-39","1","60",0.0277359537205801,0.0279922169695352,0.0174937837479954,0.00576153640970926,0.00588467868734886,0.00268757877597462,7000,7000,383390,252380,1080,1080,7970,7970,284722,284722,1280,1280,7134,7134,407802,407802,1096,1096,2021-04-11
"2021-04-18","00-39","1","60",0.030898978516122,0.0341736852087299,0.0217409429085684,0.00796854521625164,0.00809143319510468,0.00424715916057302,8500,8500,383390,275090,1520,1520,9730,9730,284722,284722,1760,1760,8866,8866,407802,407802,1732,1732,2021-04-18
"2021-04-25","00-39","1","60",0.0331923090152375,0.0387044204522306,0.024710521282387,0.00523245045378774,0.00588467868734886,0.00296957837381867,9650,9650,383390,290730,1130,1130,11020,11020,284722,284722,1280,1280,10077,10077,407802,407802,1211,1211,2021-04-25
"2021-05-02","00-39","1","60",0.0378414390406396,0.0456936941999564,0.0292592974041324,0.00880733944954129,0.00914883639673768,0.00454877612174536,11360,11360,383390,300200,1680,1680,13010,13010,284722,284722,1990,1990,11932,11932,407802,407802,1855,1855,2021-05-02
"2021-05-09","00-39","1","60",0.0470194647201946,0.0622712681141605,0.0396957346947783,0.0168067226890756,0.0165424519355722,0.010436437290646,15460,15460,383390,328800,4040,4040,17730,17730,284722,284722,4710,4710,16188,16188,407802,407802,4256,4256,2021-05-09
"2021-05-16","00-39","1","60",0.0614822908616049,0.0927220235879209,0.0627951800138302,0.0218076644974693,0.0304507554737604,0.0230994453190519,23070,23070,383390,375230,7540,7540,26400,26400,284722,284722,8670,8670,25608,25608,407802,407802,9420,9420,2021-05-16
"2021-05-23","00-39","1","60",0.087221888938157,0.133674250672586,0.0962158106139744,0.0273896913726419,0.0409873490632968,0.0334206306001442,33440,33440,383390,383390,10410,10410,38060,38060,284722,284722,11670,11670,39237,39237,407802,407802,13629,13629,2021-05-23
"2021-05-30","00-39","1","60",0.112939826286549,0.172519159039344,0.12178704371239,0.0261425814807962,0.0388449083667577,0.0255712330984154,43300,43300,383390,383390,9890,9890,49120,49120,284722,284722,11060,11060,49665,49665,407802,407802,10428,10428,2021-05-30
