CODGEO;NBMENFISC18;NBPERSMENFISC18;MED18;PIMP18;TP6018;TP60AGE118;TP60AGE218;TP60AGE318;TP60AGE418;TP60AGE518;TP60AGE618;TP60TOL118;TP60TOL218;PACT18;PTSA18;PCHO18;PBEN18;PPEN18;PPAT18;PPSOC18;PPFAM18;PPMINI18;PPLOGT18;PIMPOT18;D118;D918;RD18
01001;319;808;25350;;;;;;;;;;;;;;;;;;;;;;;;
01002;109;255;23890;;;;;;;;;;;;;;;;;;;;;;;;
01004;6530;14660;20420;48;18;20;22;21;16;11;;5;28;70.8;64.5;3;3.3;26;13.1;7.2;2.9;2.5;1.8;-17.1;11080;35350;3.2
01005;690;1761;24270;;;;;;;;;;;;;;;;;;;;;;;;
01006;;;;;;;;;;;;;;;;;;;;;;;;;;;
01007;1122;2788;23160;56;;;;;;;;;;77.6;72.2;2.5;2.9;25.8;7.8;4.8;2.5;1.4;0.9;-16;14430;35030;2.4
01008;325;779;26350;;;;;;;;;;;;;;;;;;;;;;;;
01009;141;335;24580;;;;;;;;;;;;;;;;;;;;;;;;
01010;434;1027;23990;;;;;;;;;;;;;;;;;;;;;;;;
01011;148;388;24780;;;;;;;;;;;;;;;;;;;;;;;;
01012;143;322;21440;;;;;;;;;;;;;;;;;;;;;;;;
01013;67;136;21380;;;;;;;;;;;;;;;;;;;;;;;;
01014;1325;3425;21310;51;10;;;;;;;;22;66.1;61.5;2.6;2;28.2;21.3;4.6;2.3;1.3;1;-20.2;12990;36770;2.8
01015;289;671;23110;;;;;;;;;;;;;;;;;;;;;;;;
01016;173;461;21200;;;;;;;;;;;;;;;;;;;;;;;;
01017;190;396;20350;;;;;;;;;;;;;;;;;;;;;;;;
01019;;;;;;;;;;;;;;;;;;;;;;;;;;;
01021;544;1399;24770;;;;;;;;;;;;;;;;;;;;;;;;
01022;557;1169;20060;;;;;;;;;;;;;;;;;;;;;;;;
01023;;;;;;;;;;;;;;;;;;;;;;;;;;;
01024;1317;3339;22910;58;;;;;;;;;;80.2;73.1;2.5;4.6;25.4;7.2;4.2;2.5;1;0.7;-17;14820;35080;2.4
01025;1570;4129;23020;54;5;;;;;;;;;80.1;72.3;2.1;5.7;23.4;8.2;4.3;2.6;1;0.7;-16;14600;34820;2.4
01026;413;897;21480;;;;;;;;;;;;;;;;;;;;;;;;
01027;671;1910;24600;;;;;;;;;;;;;;;;;;;;;;;;
01028;240;630;23340;;;;;;;;;;;;;;;;;;;;;;;;
01029;262;598;20750;;;;;;;;;;;;;;;;;;;;;;;;
01030;357;835;22250;;;;;;;;;;;;;;;;;;;;;;;;
01031;1528;3389;19710;47;17;;;;;;;;27;68.8;63.6;3.2;2;31.6;8.1;7.2;2.9;2.5;1.8;-15.7;11310;34490;3
01032;1161;3195;22050;53;7;;;;;;;;;81.2;75.9;2.8;2.5;22.2;6.5;5.7;3.6;1.1;1;-15.6;14160;37300;2.6
01033;6390;14761;22360;45;16;;18;19;16;12;;6;27;78.6;72.6;3.6;2.4;24.3;7.5;4.6;1.9;1.6;1.1;-15;11010;45370;4.1
01034;4005;8618;19900;46;18;;25;24;15;14;;7;28;65.5;58.3;3;4.2;33.5;9.9;7.4;2.6;3;1.8;-16.3;10970;35170;3.2
01035;140;308;23570;;;;;;;;;;;;;;;;;;;;;;;;
01036;572;1256;23190;;;;;;;;;;;;;;;;;;;;;;;;
01037;120;264;21920;;;;;;;;;;;;;;;;;;;;;;;;
01038;306;751;22820;;;;;;;;;;;;;;;;;;;;;;;;
01039;200;474;21640;;;;;;;;;;;;;;;;;;;;;;;;
01040;185;494;21850;;;;;;;;;;;;;;;;;;;;;;;;
01041;328;762;23350;;;;;;;;;;;;;;;;;;;;;;;;
01042;118;312;24410;;;;;;;;;;;;;;;;;;;;;;;;
01043;1818;4715;27820;70;5;;;;;;;;;81.2;73.7;2.4;5.1;25.2;11.3;2.7;1.5;0.7;0.5;-20.4;16160;47850;3
01044;235;592;26620;;;;;;;;;;;;;;;;;;;;;;;;
01045;100;272;26550;;;;;;;;;;;;;;;;;;;;;;;;
01046;339;872;22290;;;;;;;;;;;;;;;;;;;;;;;;
01047;437;1185;25760;;;;;;;;;;;;;;;;;;;;;;;;
01049;1216;3287;25330;63;;;;;;;;;;81.8;75.2;2.5;4.1;23.6;8.5;3.6;2.2;0.8;0.6;-17.5;15560;40620;2.6
01050;129;336;20370;;;;;;;;;;;;;;;;;;;;;;;;
01051;;;;;;;;;;;;;;;;;;;;;;;;;;;
01052;132;310;26120;;;;;;;;;;;;;;;;;;;;;;;;
01053;18461;37249;19180;46;22;26;28;26;23;15;10;5;33;65.9;59.2;3.2;3.5;33.6;9.1;8.3;2.7;3.4;2.2;-16.9;10120;34780;3.4
