vaccination,cl_age,variant,risk
3_complet_rappel,20_59,Omicron,0.0185185185185182
3_complet_rappel,20_59,Delta,0.0648148148148149
3_complet_rappel,60_79,Omicron,0.111111111111111
3_complet_rappel,60_79,Delta,1.00925925925926
3_complet_rappel,80_etplus,Omicron,0.768518518518518
3_complet_rappel,80_etplus,Delta,3.75925925925926
2_complet_sansrappel,20_59,Omicron,0.0116883116883118
2_complet_sansrappel,20_59,Delta,0.0350649350649354
2_complet_sansrappel,60_79,Omicron,0.40909090909091
2_complet_sansrappel,60_79,Delta,0.958441558441559
2_complet_sansrappel,80_etplus,Omicron,2.3961038961039
2_complet_sansrappel,80_etplus,Delta,4.71038961038961
1_non_vaccine,20_59,Omicron,0.0591133004926106
1_non_vaccine,20_59,Delta,0.0886699507389159
1_non_vaccine,60_79,Omicron,0.857142857142856
1_non_vaccine,60_79,Delta,2.95566502463054
1_non_vaccine,80_etplus,Omicron,4.81773399014778
1_non_vaccine,80_etplus,Delta,11.6748768472906
