"","libelle_epci","PIMP18","taux_cumu_1_inj"
"1174","CC DE LA PLAINE DIJONNAISE",57.4,0.472
"2090","CA BEAUNE, COTE ET SUD COMMUNAUTE BEAUNE CHAGNY NOLAY",55.2,0.443
"5940","CC DU PAYS DE MAICHE",62,0.262
"25849","CC OUCHE ET MONTAGNE",59.8,0.447
"25892","CC FORETS, SEINE ET SUZON",61.8,0.519
"93476","CC DES VOSGES DU SUD",55.1,0.358
"99284","CC NORGE ET TILLE",73.1,0.573
"99480","CC DES LACS ET MONTAGNES DU HAUT DOUBS",75.4,0.28
"114228","CC DE GEVREY CHAMBERTIN ET DE NUITS SAINT GEORGES",61.6,0.47
"134441","CC MIREBELLOIS ET FONTENOIS",55.3,0.487
"158376","DIJON METROPOLE",55.7,0.462
"160997","CC DE MONTBENOIT",63.3,0.3
"161255","CC DU GRAND PONTARLIER",61.6,0.338
"161506","CC DU VAL DE MORTEAU",71.4,0.301
"162083","CC DU PLATEAU DE RUSSEY",67.9,0.274
"162738","CC DU PLATEAU DE FRASNE ET DU VAL DE DRUGEON (CFD)",61,0.314
"182683","CC DE LA STATION DES ROUSSES HAUT JURA",73.6,0.264
"183102","CC DU HAUT JURA ARCADE",57.8,0.254
"183468","CC LA GRANDVALLIERE",58.1,0.256
"202286","CC LOIRE ET ALLIER",56.8,0.427
"238885","CC DU GATINAIS EN BOURGOGNE",55.1,0.333
"239359","CC DU SUD TERRITOIRE",55.4,0.346
