CODGEO;NBMENFISC18;NBPERSMENFISC18;MED18;PIMP18;TP6018;TP60AGE118;TP60AGE218;TP60AGE318;TP60AGE418;TP60AGE518;TP60AGE618;TP60TOL118;TP60TOL218;PACT18;PTSA18;PCHO18;PBEN18;PPEN18;PPAT18;PPSOC18;PPFAM18;PPMINI18;PPLOGT18;PIMPOT18;D118;D918;RD18
200000172;11098;27102;25420;58.5;8.7;12.5;9.7;9.3;7.8;6.8;;5;17.1;86.2;79.3;3.1;3.8;18.8;9.1;3;1.6;0.8;0.6;-17.1;13620;48360;3.6
200000438;14078;34889;21500;46.7;7.8;8.9;6.1;7.7;9.5;6.7;11.1;5.4;19.8;76.1;69.9;3;3.2;26.7;6.3;5.2;3;1.4;0.8;-14.3;13860;31380;2.3
200000545;8223;18308;17940;38.3;24.9;37.2;34;32.4;23;16.6;;12.3;43;60.4;53.3;3.8;3.3;36.5;6.9;10;3.5;4;2.5;-13.8;9840;29390;3
200000628;10147;24422;19440;43.1;20.2;28;22.8;24.9;18.9;16.9;11.4;10.2;37.5;68;60.7;3.7;3.6;30.7;8.8;7.3;2.9;2.7;1.7;-14.8;10490;33680;3.2
200000800;4557;9924;21380;48.5;9.9;;;11.2;11.1;;;5.6;20.9;64.5;56.9;2.9;4.7;36.8;10.1;4.5;1.9;1.7;0.9;-15.9;13110;34110;2.6
200000925;8564;21899;23600;57.4;6;;5.3;6.8;5.7;5;;5;17.8;79.2;73.4;2.2;3.6;26.4;6.4;4.1;2.3;1.2;0.6;-16.1;14790;34580;2.3
200000933;6788;14015;20750;45.9;11.9;;16.3;13.7;13.6;8.1;;7.1;22.7;60.4;51.4;2.6;6.4;39.2;11;4.9;1.8;2;1.1;-15.5;12510;33750;2.7
200004802;11897;28052;22710;53.5;14.5;;16;16.1;14.7;12.3;11.7;9.2;29.4;67.8;57.3;3.3;7.2;33.6;13.8;3.8;1.7;1.4;0.7;-19;11390;40210;3.5
200005932;6486;15435;24090;60;7.2;;8;8.7;6.8;;;5;19.6;74.5;68.5;2.2;3.8;30.8;10.7;3.1;1.7;0.8;0.6;-19.1;14290;40770;2.9
200005957;5335;12380;19280;38.4;19.1;34.7;23.7;23.4;17.4;12.1;;9.9;41.9;65.7;57.1;3.3;5.3;31.8;8.8;7.6;3;2.9;1.7;-13.9;10720;31700;3
200006682;22751;50280;22760;55.2;9.7;13.6;11.6;11;9.8;7;7.1;5;20.5;73.1;59.6;2.3;11.2;28.1;14.1;3.9;1.6;1.4;0.9;-19.2;13130;41940;3.2
200006716;6805;15840;20690;49.7;14.3;;17;17;13.5;11.2;;6.5;27.4;72.3;63.8;2.8;5.7;28.4;9.5;6.2;2.7;2.1;1.4;-16.4;11930;35650;3
200006930;2225;4522;19620;39.5;16.2;;;;;;;10.8;29.8;59.6;50.1;2.3;7.2;38.4;10.4;5.4;1.9;2.3;1.2;-13.8;11490;32230;2.8
200006971;8335;17396;20700;47.7;14.3;26.3;18.8;16.6;16.3;8.8;7.9;6.5;30.9;59.7;51.2;2.8;5.7;40.2;10.1;5.8;2.2;2.2;1.4;-15.8;11630;33180;2.9
200007052;2708;5282;18520;33.9;19.4;;;;;15.2;20.2;15.8;34.5;50.1;40;2.3;7.8;47.6;10.2;5.1;1.6;2.5;1;-13;10440;29590;2.8
200007177;2114;4546;19790;38.3;16.8;;;;;;;11.4;34.5;58.9;50.5;2.9;5.5;38.5;8.9;7;2.4;3.2;1.4;-13.3;11310;30850;2.7
200010650;24509;53695;21270;48.8;13.3;20.3;16.7;16.5;13;7.9;8;5.1;28.4;68.2;61;2.6;4.6;34.3;7.7;6.1;2.3;2.4;1.4;-16.3;12070;34960;2.9
200010700;31527;76488;21330;48.7;12.1;19;13.5;13.7;12.2;7.5;8.6;5;27.5;74.4;67.6;2.9;3.9;28.4;6.4;6;2.7;2.1;1.2;-15.2;12440;34810;2.8
200011773;36156;79816;26140;41.7;16.1;19.5;16.2;18.7;15.7;13.9;10.8;5.9;27;85.1;78;3.9;3.2;19.6;8;3.2;1.1;1.2;0.9;-15.9;10680;61610;5.8
200011781;4392;9517;20560;43.6;12.2;;;14.1;15.8;;;8.6;27.5;64.8;56.8;2.9;5.1;36.8;6.9;5.8;2.1;2.6;1.1;-14.3;12210;31560;2.6
200013050;6914;16819;23580;56.8;6.5;;;7.3;6.1;;;5;18.6;76.1;69.6;2.2;4.3;30.1;7.6;2.8;1.6;0.8;0.4;-16.6;14460;37480;2.6
200015162;2187;4616;17840;39;28.5;;;32.9;28;25.2;25.7;19.6;40.1;62.1;48.5;2.6;11;35.7;10.8;7.6;1.6;4.3;1.7;-16.2;8630;34880;4
200016905;2997;6286;18830;32.6;18.9;;;26.4;16.2;13.7;;14;33.9;57.6;47.2;3.3;7.1;38.3;10.5;6.6;2.1;3;1.5;-13;10860;30890;2.8
200017341;6804;14713;17930;33.8;25.3;38.9;28.4;30.2;27.2;18.7;16.2;15;42;60.2;49.2;4.1;6.9;35.5;9.3;9.3;2.7;4.2;2.4;-14.3;9580;31350;3.3
200017846;21498;53623;22280;57.6;12.7;17.7;17;14.3;11.4;8.2;5.9;5;28.3;79.3;72.6;2.8;3.9;25;8.4;5.4;2.7;1.7;1;-18.1;12120;36640;3
200018083;8821;22687;20200;42.6;14.4;20.2;15.2;14.4;14.8;11;14.6;8.1;31.1;74.2;65.4;2.8;6;25.6;8.2;6.6;3;2.3;1.3;-14.6;11850;32450;2.7
200018166;41834;104264;26550;65.5;5.4;11.7;6;5.5;5.4;5;5;5;14.4;80.6;73.2;2.3;5.1;24.7;11.9;2.9;1.6;0.8;0.5;-20.1;15480;46430;3
200018406;14850;32317;20540;45.9;15.5;22.2;21.9;20.5;15.6;8.9;8.2;8;33.5;62.1;55.3;3;3.8;38.7;8.4;6;2.1;2.5;1.4;-15.2;11260;33160;2.9
200018521;2732;5825;20060;38.8;14.4;;;;;;;10.7;31;62.9;53.9;2.8;6.2;36.7;9.1;5.2;2;2.2;1;-13.9;11730;30960;2.6
200022986;19466;49428;26150;62.9;7.4;;9.2;8.2;7.5;5.2;5.8;5;18.7;77.3;65;2.7;9.6;28.6;12.7;3;1.4;1;0.6;-21.6;14390;47410;3.3
200023075;8026;18223;27070;62;6.5;;;5;8.4;8.1;;5;14.9;89.1;81.1;3.5;4.5;20.7;6.3;2.8;1.2;1;0.6;-18.9;14640;46830;3.2
200023125;17346;45292;25880;69.2;8.4;11.6;11.1;8.9;7.5;7.3;;5;21.7;83.4;76.7;2.6;4.1;24.8;9.7;3.4;1.8;1;0.6;-21.3;13810;44770;3.2
200023240;12363;29319;21870;54;13.9;23.7;19.6;16.6;12.4;8.7;;5.8;28.4;72.1;64.7;2.8;4.6;29.8;9.7;5.7;2.4;2.1;1.2;-17.3;11670;37090;3.2
200023299;4219;8979;22320;57.1;13.7;;15.9;17.3;14.1;;;5.7;23.5;76.7;61.7;4.4;10.6;23.2;15.2;4;1.7;1.3;1;-19.1;11860;39070;3.3
200023307;21717;47225;19340;40.2;18.8;27.9;23.4;22.6;18.8;13.3;14.2;11.1;35.1;60.6;51.4;3.3;5.9;37.6;10;7.3;2.4;3.1;1.8;-15.5;10840;32670;3
200023372;6643;14023;23160;59.3;11.5;;12.7;12.8;13.1;8.3;;8.9;14.7;75.7;61.5;3.1;11.1;24;18.9;2.1;1.1;0.6;0.4;-20.7;12350;45680;3.7
