COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
NBMENFISC18;Nombre de ménages fiscaux;Nombre de ménages fiscaux;;;NUM;7
NBPERSMENFISC18;Nombre de personnes dans les ménages fiscaux;Nombre de personnes dans les ménages fiscaux;;;NUM;7
MED18;Médiane du niveau vie (€);Médiane du niveau de vie (€);;;NUM;5
PIMP18;Part des ménages fiscaux imposés (%);Part des ménages fiscaux imposés (%);;;NUM;4
TP6018;Taux de pauvreté-Ensemble (%);Taux de pauvreté-Ensemble (%);;;NUM;4
TP60AGE118;Taux de pauvreté-moins de 30 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a moins de 30 ans (%);;;NUM;4
TP60AGE218;Taux de pauvreté-30 à 39 ans  (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 30 à 39 ans (%);;;NUM;4
TP60AGE318;Taux de pauvreté-40 à 49 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 40 à 49 ans (%);;;NUM;4
TP60AGE418;Taux de pauvreté-50 à 59 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 50 à 59 ans (%);;;NUM;4
TP60AGE518;Taux de pauvreté-60 à 74 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 60 à 74 ans (%);;;NUM;4
TP60AGE618;Taux de pauvreté-75 ans ou plus (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a 75 ans ou plus (%);;;NUM;4
TP60TOL118;Taux de pauvreté-propriétaires (%);Taux de pauvreté des personnes dans les ménages propriétaires de leur logement (%);;;NUM;4
TP60TOL218;Taux de pauvreté-locataires (%);Taux de pauvreté des personnes dans les ménages locataires de leur logement (%);;;NUM;4
PACT18;Part des revenus d'activité (%);Part des revenus d'activité (%);;;NUM;4
PTSA18;dont part des salaires et traitements (%);dont part des salaires et traitements (%);;;NUM;4
PCHO18;dont part des indemnités de chômage (%);dont part des indemnités de chômage (%);;;NUM;3
PBEN18;dont part des revenus des activités non salariées (%);dont part des revenus des activités non salariées (%);;;NUM;4
PPEN18;Part des pensions, retraites et rentes (%);Part des pensions, retraites et rentes (%);;;NUM;4
PPAT18;Part des revenus du patrimoine et autres revenus (%);Part des revenus du patrimoine et des autres revenus (%);;;NUM;4
PPSOC18;Part de l'ensemble des prestations sociales (%);Part de l'ensemble des prestations sociales (%);;;NUM;4
PPFAM18;dont part des prestations familiales (%);dont part des prestations familiales (%);;;NUM;3
PPMINI18;dont part des minima sociaux (%);dont part des minima sociaux (%);;;NUM;4
PPLOGT18;dont part des prestations logement (%);dont part des prestations logement (%);;;NUM;3
PIMPOT18;Part des impôts (%);Part des impôts (%);;;NUM;5
D118;1er décile du niveau de vie (€);1er décile du niveau de vie (€);;;NUM;5
D918;9e décile du niveau de vie (€);9e décile du niveau de vie (€);;;NUM;5
RD18;Rapport interdécile 9e décile/1er décile;Rapport interdécile 9e décile/1er décile;;;NUM;3
CODGEO;Code géographique;Code géographique;200000172;CC Faucigny-Glières;CHAR;9
CODGEO;Code géographique;Code géographique;200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;CHAR;9
CODGEO;Code géographique;Code géographique;200000545;CC des Portes de Romilly-sur-Seine;CHAR;9
CODGEO;Code géographique;Code géographique;200000628;CC Rhône Lez Provence;CHAR;9
CODGEO;Code géographique;Code géographique;200000800;CC Cœur de Sologne;CHAR;9
CODGEO;Code géographique;Code géographique;200000925;CC de la Plaine Dijonnaise;CHAR;9
CODGEO;Code géographique;Code géographique;200000933;CC Sauldre et Sologne;CHAR;9
CODGEO;Code géographique;Code géographique;200004802;CC du Pays de Fayence;CHAR;9
CODGEO;Code géographique;Code géographique;200005932;CC des Portes de Sologne;CHAR;9
CODGEO;Code géographique;Code géographique;200005957;CC de la Région de Rambervillers;CHAR;9
CODGEO;Code géographique;Code géographique;200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;CHAR;9
CODGEO;Code géographique;Code géographique;200006716;CC du Nogentais;CHAR;9
CODGEO;Code géographique;Code géographique;200006930;CC du Haut-Allier;CHAR;9
CODGEO;Code géographique;Code géographique;200006971;CC du Perche;CHAR;9
CODGEO;Code géographique;Code géographique;200007052;CC de la Marche Berrichonne;CHAR;9
CODGEO;Code géographique;Code géographique;200007177;CC Pays de Nérondes;CHAR;9
CODGEO;Code géographique;Code géographique;200010650;CA du Grand Dole;CHAR;9
CODGEO;Code géographique;Code géographique;200010700;CA Caux Seine Agglo;CHAR;9
CODGEO;Code géographique;Code géographique;200011773;CA Annemasse-les Voirons-Agglomération;CHAR;9
CODGEO;Code géographique;Code géographique;200011781;CC Portes du Berry entre Loire et Val d'Aubois;CHAR;9
CODGEO;Code géographique;Code géographique;200013050;CC Sauer-Pechelbronn;CHAR;9
CODGEO;Code géographique;Code géographique;200015162;CC de l'Oriente;CHAR;9
CODGEO;Code géographique;Code géographique;200016905;CC du Pays de Lamastre;CHAR;9
CODGEO;Code géographique;Code géographique;200017341;CC Lodévois et Larzac;CHAR;9
CODGEO;Code géographique;Code géographique;200017846;CA Étampois Sud-Essonne;CHAR;9
CODGEO;Code géographique;Code géographique;200018083;CC de Desvres-Samer;CHAR;9
CODGEO;Code géographique;Code géographique;200018166;CC Le Grésivaudan;CHAR;9
CODGEO;Code géographique;Code géographique;200018406;CC du Romorantinais et du Monestois;CHAR;9
CODGEO;Code géographique;Code géographique;200018521;CC du Val de Bouzanne;CHAR;9
CODGEO;Code géographique;Code géographique;200022986;CC du Grand Pic Saint-Loup;CHAR;9
CODGEO;Code géographique;Code géographique;200023075;CC du Pays de Maîche;CHAR;9
CODGEO;Code géographique;Code géographique;200023125;CC Les Portes Briardes entre Villes et Forêts;CHAR;9
