Week,Age_group,positive_1_6_days_after_1st_dose,positive_7_13_days_after_1st_dose,positive_14_20_days_after_1st_dose,positive_above_20_days_after_1st_dose,positive_1_6_days_after_2nd_dose,positive_7_13_days_after_2nd_dose,positive_14_30_days_after_2nd_dose,positive_31_90_days_after_2nd_dose,positive_above_90_days_after_2nd_dose,positive_1_6_days_after_3rd_dose,positive_7_13_days_after_3rd_dose,positive_14_20_days_after_3rd_dose,positive_above_20_days_after_3rd_dose,Sum_positive_without_vaccination
2020-12-20 - 2020-12-26,0-19,,,,,,,,,,,,,,8123
2020-12-20 - 2020-12-26,20-29,15.0,,,,,,,,,,,,,4773
2020-12-20 - 2020-12-26,30-39,24.0,,,,,,,,,,,,,3770
2020-12-20 - 2020-12-26,40-49,21.0,,,,,,,,,,,,,3471
2020-12-20 - 2020-12-26,50-59,20.0,,,,,,,,,,,,,2517
2020-12-20 - 2020-12-26,60-69,25.0,,,,,,,,,,,,,1787
2020-12-20 - 2020-12-26,70-79,9.0,,,,,,,,,,,,,893
2020-12-20 - 2020-12-26,80-89,<5,,,,,,,,,,,,,396
2020-12-20 - 2020-12-26,90+,,,,,,,,,,,,,,140
2020-12-27 - 2021-01-02,0-19,46.0,<5,,,,,,,,,,,,12782
2020-12-27 - 2021-01-02,20-29,150.0,43.0,,,,,,,,,,,,6279
2020-12-27 - 2021-01-02,30-39,123.0,79.0,,,,,,,,,,,,5053
2020-12-27 - 2021-01-02,40-49,156.0,63.0,,,,,,,,,,,,4152
2020-12-27 - 2021-01-02,50-59,177.0,81.0,,,,,,,,,,,,3159
2020-12-27 - 2021-01-02,60-69,292.0,140.0,,,,,,,,,,,,1875
2020-12-27 - 2021-01-02,70-79,155.0,54.0,,,,,,,,,,,,936
2020-12-27 - 2021-01-02,80-89,77.0,20.0,,,,,,,,,,,,422
2020-12-27 - 2021-01-02,90+,23.0,5.0,,,,,,,,,,,,160
2021-01-03 - 2021-01-09,0-19,98.0,82.0,5.0,,,,,,,,,,,18298
2021-01-03 - 2021-01-09,20-29,282.0,247.0,21.0,,,,,,,,,,,8424
2021-01-03 - 2021-01-09,30-39,298.0,320.0,40.0,,,,,,,,,,,6386
2021-01-03 - 2021-01-09,40-49,390.0,447.0,64.0,,,,,,,,,,,5253
2021-01-03 - 2021-01-09,50-59,475.0,499.0,62.0,,,,,,,,,,,3299
2021-01-03 - 2021-01-09,60-69,478.0,812.0,132.0,,,,,,,,,,,1578
2021-01-03 - 2021-01-09,70-79,230.0,437.0,58.0,,,,,,,,,,,696
2021-01-03 - 2021-01-09,80-89,212.0,231.0,12.0,,,,,,,,,,,375
2021-01-03 - 2021-01-09,90+,75.0,114.0,<5,,,,,,,,,,,111
2021-01-10 - 2021-01-16,0-19,46.0,164.0,49.0,,,,,,,,,,,22270
2021-01-10 - 2021-01-16,20-29,142.0,431.0,108.0,5.0,<5,,,,,,,,,9092
2021-01-10 - 2021-01-16,30-39,173.0,483.0,197.0,12.0,5.0,,,,,,,,,7081
2021-01-10 - 2021-01-16,40-49,286.0,748.0,284.0,22.0,10.0,,,,,,,,,5377
2021-01-10 - 2021-01-16,50-59,286.0,949.0,352.0,23.0,11.0,,,,,,,,,3271
2021-01-10 - 2021-01-16,60-69,180.0,1005.0,699.0,44.0,16.0,,,,,,,,,1287
2021-01-10 - 2021-01-16,70-79,89.0,569.0,398.0,35.0,<5,,,,,,,,,580
2021-01-10 - 2021-01-16,80-89,54.0,327.0,261.0,9.0,8.0,,,,,,,,,289
2021-01-10 - 2021-01-16,90+,18.0,133.0,70.0,,,,,,,,,,,105
2021-01-17 - 2021-01-23,0-19,83.0,85.0,59.0,18.0,7.0,<5,,,,,,,,19809
2021-01-17 - 2021-01-23,20-29,178.0,201.0,170.0,33.0,28.0,5.0,,,,,,,,8003
2021-01-17 - 2021-01-23,30-39,131.0,240.0,202.0,58.0,36.0,6.0,,,,,,,,5866
2021-01-17 - 2021-01-23,40-49,257.0,419.0,345.0,86.0,79.0,14.0,,,,,,,,4340
2021-01-17 - 2021-01-23,50-59,274.0,568.0,557.0,114.0,69.0,18.0,,,,,,,,2422
2021-01-17 - 2021-01-23,60-69,70.0,350.0,742.0,173.0,151.0,20.0,,,,,,,,1098
2021-01-17 - 2021-01-23,70-79,21.0,144.0,396.0,139.0,106.0,12.0,,,,,,,,473
