first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased
2020-03-15,2020-03-21,0-19,זכר,1123,44.0,0.0
2020-03-15,2020-03-21,0-19,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,0-19,נקבה,1057,39.0,0.0
2020-03-15,2020-03-21,20-24,זכר,614,92.0,0.0
2020-03-15,2020-03-21,20-24,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,20-24,נקבה,709,50.0,0.0
2020-03-15,2020-03-21,25-29,זכר,562,50.0,0.0
2020-03-15,2020-03-21,25-29,נקבה,759,48.0,0.0
2020-03-15,2020-03-21,30-34,זכר,584,50.0,0.0
2020-03-15,2020-03-21,30-34,נקבה,670,32.0,0.0
2020-03-15,2020-03-21,35-39,זכר,515,43.0,0.0
2020-03-15,2020-03-21,35-39,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,35-39,נקבה,545,32.0,0.0
2020-03-15,2020-03-21,40-44,זכר,364,32.0,0.0
2020-03-15,2020-03-21,40-44,נקבה,432,18.0,0.0
2020-03-15,2020-03-21,45-49,זכר,330,37.0,0.0
2020-03-15,2020-03-21,45-49,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,45-49,נקבה,410,15.0,0.0
2020-03-15,2020-03-21,50-54,זכר,257,32.0,0.0
2020-03-15,2020-03-21,50-54,נקבה,373,25.0,0.0
2020-03-15,2020-03-21,55-59,זכר,183,18.0,0.0
2020-03-15,2020-03-21,55-59,נקבה,361,28.0,0.0
2020-03-15,2020-03-21,60-64,זכר,228,21.0,0.0
2020-03-15,2020-03-21,60-64,נקבה,310,20.0,0.0
2020-03-15,2020-03-21,65-69,זכר,241,28.0,0.0
2020-03-15,2020-03-21,65-69,נקבה,208,17.0,0.0
2020-03-15,2020-03-21,70-74,זכר,193,25.0,0.0
2020-03-15,2020-03-21,70-74,נקבה,146,<15,0.0
2020-03-15,2020-03-21,75-79,זכר,104,<15,0.0
2020-03-15,2020-03-21,75-79,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,75-79,נקבה,82,<15,0.0
2020-03-15,2020-03-21,80+,זכר,182,<15,<15
2020-03-15,2020-03-21,80+,נקבה,222,<15,0.0
2020-03-15,2020-03-21,NULL,זכר,181,<15,0.0
2020-03-15,2020-03-21,NULL,לא ידוע,36,0.0,0.0
2020-03-15,2020-03-21,NULL,נקבה,197,<15,0.0
2020-03-22,2020-03-28,0-19,זכר,2540,199.0,0.0
2020-03-22,2020-03-28,0-19,לא ידוע,19,0.0,0.0
2020-03-22,2020-03-28,0-19,נקבה,2547,185.0,0.0
2020-03-22,2020-03-28,20-24,זכר,1987,216.0,0.0
2020-03-22,2020-03-28,20-24,לא ידוע,18,0.0,0.0
2020-03-22,2020-03-28,20-24,נקבה,2325,161.0,0.0
2020-03-22,2020-03-28,25-29,זכר,1836,157.0,0.0
2020-03-22,2020-03-28,25-29,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,25-29,נקבה,2111,134.0,0.0
2020-03-22,2020-03-28,30-34,זכר,1719,116.0,0.0
2020-03-22,2020-03-28,30-34,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,30-34,נקבה,1778,113.0,0.0
2020-03-22,2020-03-28,35-39,זכר,1341,125.0,0.0
2020-03-22,2020-03-28,35-39,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,35-39,נקבה,1454,75.0,0.0
2020-03-22,2020-03-28,40-44,זכר,1078,84.0,0.0
2020-03-22,2020-03-28,40-44,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,40-44,נקבה,1262,72.0,0.0
2020-03-22,2020-03-28,45-49,זכר,924,122.0,0.0
2020-03-22,2020-03-28,45-49,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,45-49,נקבה,1180,103.0,0.0
2020-03-22,2020-03-28,50-54,זכר,733,122.0,0.0
2020-03-22,2020-03-28,50-54,נקבה,1127,102.0,0.0
2020-03-22,2020-03-28,55-59,זכר,744,127.0,<15
2020-03-22,2020-03-28,55-59,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,55-59,נקבה,991,91.0,0.0
2020-03-22,2020-03-28,60-64,זכר,814,123.0,0.0
2020-03-22,2020-03-28,60-64,נקבה,880,74.0,0.0
2020-03-22,2020-03-28,65-69,זכר,615,76.0,0.0
2020-03-22,2020-03-28,65-69,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,65-69,נקבה,570,63.0,<15
2020-03-22,2020-03-28,70-74,זכר,412,57.0,<15
2020-03-22,2020-03-28,70-74,נקבה,393,36.0,0.0
2020-03-22,2020-03-28,75-79,זכר,268,43.0,<15
2020-03-22,2020-03-28,75-79,נקבה,225,19.0,<15
2020-03-22,2020-03-28,80+,זכר,409,33.0,<15
2020-03-22,2020-03-28,80+,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,80+,נקבה,646,33.0,<15
2020-03-22,2020-03-28,NULL,זכר,416,<15,0.0
2020-03-22,2020-03-28,NULL,לא ידוע,119,<15,0.0
2020-03-22,2020-03-28,NULL,נקבה,326,<15,0.0
2020-03-29,2020-04-04,0-19,זכר,3737,402.0,0.0
2020-03-29,2020-04-04,0-19,לא ידוע,16,0.0,0.0
2020-03-29,2020-04-04,0-19,נקבה,3618,349.0,0.0
2020-03-29,2020-04-04,20-24,זכר,4340,329.0,0.0
2020-03-29,2020-04-04,20-24,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,20-24,נקבה,4202,257.0,0.0
2020-03-29,2020-04-04,25-29,זכר,2905,219.0,0.0
2020-03-29,2020-04-04,25-29,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,25-29,נקבה,2920,167.0,0.0
2020-03-29,2020-04-04,30-34,זכר,2798,172.0,0.0
2020-03-29,2020-04-04,30-34,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,30-34,נקבה,2535,104.0,0.0
2020-03-29,2020-04-04,35-39,זכר,2309,154.0,0.0
2020-03-29,2020-04-04,35-39,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,35-39,נקבה,2162,114.0,0.0
2020-03-29,2020-04-04,40-44,זכר,1920,170.0,0.0
2020-03-29,2020-04-04,40-44,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,40-44,נקבה,2133,128.0,0.0
2020-03-29,2020-04-04,45-49,זכר,1658,153.0,0.0
2020-03-29,2020-04-04,45-49,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,45-49,נקבה,2023,118.0,<15
2020-03-29,2020-04-04,50-54,זכר,1423,142.0,0.0
2020-03-29,2020-04-04,50-54,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,50-54,נקבה,1811,104.0,<15
2020-03-29,2020-04-04,55-59,זכר,1336,153.0,0.0
2020-03-29,2020-04-04,55-59,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,55-59,נקבה,1662,142.0,0.0
2020-03-29,2020-04-04,60-64,זכר,1296,140.0,0.0
2020-03-29,2020-04-04,60-64,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,60-64,נקבה,1292,113.0,0.0
2020-03-29,2020-04-04,65-69,זכר,1030,123.0,<15
2020-03-29,2020-04-04,65-69,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,65-69,נקבה,813,75.0,<15
2020-03-29,2020-04-04,70-74,זכר,656,83.0,<15
2020-03-29,2020-04-04,70-74,נקבה,586,60.0,<15
2020-03-29,2020-04-04,75-79,זכר,355,49.0,<15
2020-03-29,2020-04-04,75-79,נקבה,338,36.0,0.0
2020-03-29,2020-04-04,80+,זכר,765,75.0,<15
2020-03-29,2020-04-04,80+,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,80+,נקבה,1035,96.0,<15
2020-03-29,2020-04-04,NULL,זכר,552,23.0,0.0
2020-03-29,2020-04-04,NULL,לא ידוע,97,<15,0.0
2020-03-29,2020-04-04,NULL,נקבה,546,19.0,0.0
2020-04-05,2020-04-11,0-19,זכר,3429,373.0,<15
2020-04-05,2020-04-11,0-19,לא ידוע,21,<15,0.0
2020-04-05,2020-04-11,0-19,נקבה,2833,291.0,0.0
2020-04-05,2020-04-11,20-24,זכר,2959,207.0,0.0
2020-04-05,2020-04-11,20-24,לא ידוע,<15,<15,0.0
2020-04-05,2020-04-11,20-24,נקבה,2705,176.0,0.0
