Week,Age_group,Type_of_event,event_after_1st_dose,event_after_2nd_dose,event_after_3rd_dose,event_for_not_vaccinated
2020-12-20 - 2020-12-26,0-19,Hospitalization,,,,57.0
2020-12-20 - 2020-12-26,0-19,Death,,,,
2020-12-20 - 2020-12-26,20-29,Hospitalization,,,,52.0
2020-12-20 - 2020-12-26,20-29,Death,,,,<5
2020-12-20 - 2020-12-26,30-39,Hospitalization,,,,80.0
2020-12-20 - 2020-12-26,30-39,Death,,,,
2020-12-20 - 2020-12-26,40-49,Hospitalization,,,,95.0
2020-12-20 - 2020-12-26,40-49,Death,,,,<5
2020-12-20 - 2020-12-26,50-59,Hospitalization,,,,138.0
2020-12-20 - 2020-12-26,50-59,Death,,,,8.0
2020-12-20 - 2020-12-26,60-69,Hospitalization,<5,,,169.0
2020-12-20 - 2020-12-26,60-69,Death,,,,26.0
2020-12-20 - 2020-12-26,70-79,Hospitalization,<5,,,223.0
2020-12-20 - 2020-12-26,70-79,Death,,,,31.0
2020-12-20 - 2020-12-26,80-89,Hospitalization,,,,174.0
2020-12-20 - 2020-12-26,80-89,Death,,,,44.0
2020-12-20 - 2020-12-26,90+,Hospitalization,<5,,,58.0
2020-12-20 - 2020-12-26,90+,Death,,,,20.0
2020-12-27 - 2021-01-02,0-19,Hospitalization,,,,88.0
2020-12-27 - 2021-01-02,0-19,Death,,,,
2020-12-27 - 2021-01-02,20-29,Hospitalization,,,,69.0
2020-12-27 - 2021-01-02,20-29,Death,,,,<5
2020-12-27 - 2021-01-02,30-39,Hospitalization,<5,,,76.0
2020-12-27 - 2021-01-02,30-39,Death,,,,
2020-12-27 - 2021-01-02,40-49,Hospitalization,<5,,,92.0
2020-12-27 - 2021-01-02,40-49,Death,,,,7.0
2020-12-27 - 2021-01-02,50-59,Hospitalization,<5,,,175.0
2020-12-27 - 2021-01-02,50-59,Death,,,,10.0
2020-12-27 - 2021-01-02,60-69,Hospitalization,17.0,,,196.0
2020-12-27 - 2021-01-02,60-69,Death,,,,24.0
2020-12-27 - 2021-01-02,70-79,Hospitalization,24.0,,,259.0
2020-12-27 - 2021-01-02,70-79,Death,,,,52.0
2020-12-27 - 2021-01-02,80-89,Hospitalization,28.0,,,163.0
2020-12-27 - 2021-01-02,80-89,Death,<5,,,63.0
2020-12-27 - 2021-01-02,90+,Hospitalization,7.0,,,73.0
2020-12-27 - 2021-01-02,90+,Death,,,,31.0
2021-01-03 - 2021-01-09,0-19,Hospitalization,,,,101.0
2021-01-03 - 2021-01-09,0-19,Death,,,,
2021-01-03 - 2021-01-09,20-29,Hospitalization,10.0,,,93.0
2021-01-03 - 2021-01-09,20-29,Death,,,,<5
2021-01-03 - 2021-01-09,30-39,Hospitalization,<5,,,128.0
2021-01-03 - 2021-01-09,30-39,Death,,,,<5
2021-01-03 - 2021-01-09,40-49,Hospitalization,18.0,,,126.0
2021-01-03 - 2021-01-09,40-49,Death,,,,<5
2021-01-03 - 2021-01-09,50-59,Hospitalization,32.0,,,178.0
2021-01-03 - 2021-01-09,50-59,Death,,,,10.0
2021-01-03 - 2021-01-09,60-69,Hospitalization,79.0,,,196.0
2021-01-03 - 2021-01-09,60-69,Death,<5,,,32.0
2021-01-03 - 2021-01-09,70-79,Hospitalization,111.0,,,222.0
2021-01-03 - 2021-01-09,70-79,Death,5.0,,,55.0
2021-01-03 - 2021-01-09,80-89,Hospitalization,129.0,,,187.0
2021-01-03 - 2021-01-09,80-89,Death,6.0,,,83.0
2021-01-03 - 2021-01-09,90+,Hospitalization,60.0,,,53.0
2021-01-03 - 2021-01-09,90+,Death,8.0,,,37.0
2021-01-10 - 2021-01-16,0-19,Hospitalization,<5,,,111.0
2021-01-10 - 2021-01-16,0-19,Death,,,,<5
2021-01-10 - 2021-01-16,20-29,Hospitalization,6.0,,,101.0
2021-01-10 - 2021-01-16,20-29,Death,<5,,,
2021-01-10 - 2021-01-16,30-39,Hospitalization,9.0,,,124.0
2021-01-10 - 2021-01-16,30-39,Death,<5,,,<5
2021-01-10 - 2021-01-16,40-49,Hospitalization,20.0,,,146.0
2021-01-10 - 2021-01-16,40-49,Death,,,,<5
2021-01-10 - 2021-01-16,50-59,Hospitalization,53.0,,,160.0
2021-01-10 - 2021-01-16,50-59,Death,<5,,,10.0
2021-01-10 - 2021-01-16,60-69,Hospitalization,154.0,,,155.0
2021-01-10 - 2021-01-16,60-69,Death,11.0,,,33.0
2021-01-10 - 2021-01-16,70-79,Hospitalization,191.0,,,147.0
2021-01-10 - 2021-01-16,70-79,Death,21.0,,,61.0
2021-01-10 - 2021-01-16,80-89,Hospitalization,177.0,<5,,133.0
2021-01-10 - 2021-01-16,80-89,Death,41.0,,,82.0
2021-01-10 - 2021-01-16,90+,Hospitalization,84.0,,,48.0
2021-01-10 - 2021-01-16,90+,Death,26.0,,,45.0
2021-01-17 - 2021-01-23,0-19,Hospitalization,<5,,,121.0
2021-01-17 - 2021-01-23,0-19,Death,,,,
2021-01-17 - 2021-01-23,20-29,Hospitalization,<5,,,110.0
2021-01-17 - 2021-01-23,20-29,Death,,,,<5
2021-01-17 - 2021-01-23,30-39,Hospitalization,7.0,,,121.0
