Week,Age_group,Tests_num,Not_recovered_at_least_2_doses,Not_recovered_partially_vaccinated,Not_recovered_not_vaccinated,Cases_among_recoverd_with_vacc,Cases_among_recovered_without_vacc
2021-05-30 - 2021-06-05,0-19,16967,0.0,0.0,18.0,0.0,<5
2021-05-30 - 2021-06-05,20-29,19813,5.0,0.0,20.0,0.0,<5
2021-05-30 - 2021-06-05,30-39,20115,<5,0.0,16.0,<5,0.0
2021-05-30 - 2021-06-05,40-49,18375,7.0,0.0,7.0,0.0,0.0
2021-05-30 - 2021-06-05,50-59,16026,<5,0.0,6.0,0.0,0.0
2021-05-30 - 2021-06-05,60-69,13152,9.0,0.0,<5,0.0,0.0
2021-05-30 - 2021-06-05,70-79,6706,0.0,0.0,<5,0.0,0.0
2021-05-30 - 2021-06-05,80+,3098,<5,0.0,0.0,0.0,0.0
2021-06-06 - 2021-06-12,0-19,14495,0.0,0.0,21.0,0.0,0.0
2021-06-06 - 2021-06-12,20-29,20111,<5,<5,8.0,0.0,0.0
2021-06-06 - 2021-06-12,30-39,19438,7.0,0.0,<5,0.0,0.0
2021-06-06 - 2021-06-12,40-49,18316,5.0,<5,<5,0.0,0.0
2021-06-06 - 2021-06-12,50-59,15806,10.0,0.0,<5,0.0,0.0
2021-06-06 - 2021-06-12,60-69,12588,5.0,0.0,0.0,0.0,<5
2021-06-06 - 2021-06-12,70-79,6203,<5,0.0,<5,0.0,0.0
2021-06-06 - 2021-06-12,80+,2328,<5,0.0,0.0,<5,0.0
2021-06-13 - 2021-06-19,0-19,18916,<5,<5,92.0,0.0,0.0
2021-06-13 - 2021-06-19,20-29,21507,10.0,0.0,<5,0.0,0.0
2021-06-13 - 2021-06-19,30-39,21433,8.0,<5,5.0,0.0,<5
2021-06-13 - 2021-06-19,40-49,20830,17.0,<5,8.0,0.0,0.0
2021-06-13 - 2021-06-19,50-59,17830,7.0,<5,<5,0.0,0.0
2021-06-13 - 2021-06-19,60-69,14337,5.0,0.0,<5,<5,0.0
2021-06-13 - 2021-06-19,70-79,6727,<5,0.0,0.0,0.0,0.0
2021-06-13 - 2021-06-19,80+,2537,0.0,0.0,<5,<5,0.0
2021-06-20 - 2021-06-26,0-19,51359,24.0,36.0,502.0,<5,<5
2021-06-20 - 2021-06-26,20-29,28234,45.0,0.0,20.0,0.0,0.0
2021-06-20 - 2021-06-26,30-39,29866,31.0,0.0,11.0,0.0,0.0
2021-06-20 - 2021-06-26,40-49,31976,90.0,0.0,18.0,0.0,<5
2021-06-20 - 2021-06-26,50-59,25920,75.0,<5,5.0,0.0,0.0
2021-06-20 - 2021-06-26,60-69,19342,70.0,<5,9.0,0.0,<5
2021-06-20 - 2021-06-26,70-79,9279,44.0,0.0,0.0,<5,<5
2021-06-20 - 2021-06-26,80+,3694,10.0,0.0,0.0,0.0,0.0
2021-06-27 - 2021-07-03,0-19,87336,24.0,62.0,831.0,<5,<5
2021-06-27 - 2021-07-03,20-29,34106,97.0,0.0,25.0,0.0,<5
2021-06-27 - 2021-07-03,30-39,38726,133.0,<5,33.0,0.0,0.0
2021-06-27 - 2021-07-03,40-49,40476,180.0,<5,32.0,0.0,0.0
2021-06-27 - 2021-07-03,50-59,32167,125.0,<5,18.0,<5,<5
2021-06-27 - 2021-07-03,60-69,25035,134.0,<5,16.0,0.0,<5
2021-06-27 - 2021-07-03,70-79,13389,88.0,<5,7.0,0.0,0.0
2021-06-27 - 2021-07-03,80+,9622,26.0,0.0,<5,0.0,0.0
2021-07-04 - 2021-07-10,0-19,113014,59.0,107.0,1223.0,0.0,<5
2021-07-04 - 2021-07-10,20-29,40225,216.0,<5,52.0,<5,10.0
2021-07-04 - 2021-07-10,30-39,48184,251.0,<5,81.0,0.0,<5
2021-07-04 - 2021-07-10,40-49,49406,356.0,5.0,51.0,<5,<5
2021-07-04 - 2021-07-10,50-59,37053,240.0,<5,25.0,<5,<5
2021-07-04 - 2021-07-10,60-69,28792,225.0,<5,13.0,<5,0.0
2021-07-04 - 2021-07-10,70-79,17184,142.0,<5,12.0,0.0,0.0
2021-07-04 - 2021-07-10,80+,13376,51.0,<5,7.0,<5,<5
2021-07-11 - 2021-07-17,0-19,131910,168.0,156.0,1747.0,5.0,10.0
2021-07-11 - 2021-07-17,20-29,49686,444.0,10.0,114.0,5.0,11.0
2021-07-11 - 2021-07-17,30-39,55416,483.0,14.0,122.0,<5,<5
2021-07-11 - 2021-07-17,40-49,56255,557.0,11.0,107.0,<5,<5
2021-07-11 - 2021-07-17,50-59,43131,362.0,9.0,49.0,<5,<5
2021-07-11 - 2021-07-17,60-69,33282,361.0,0.0,31.0,5.0,<5
2021-07-11 - 2021-07-17,70-79,19901,236.0,0.0,13.0,0.0,0.0
2021-07-11 - 2021-07-17,80+,14458,83.0,0.0,11.0,0.0,0.0
2021-07-18 - 2021-07-24,0-19,212397,287.0,178.0,3009.0,<5,16.0
2021-07-18 - 2021-07-24,20-29,65579,757.0,15.0,181.0,5.0,13.0
2021-07-18 - 2021-07-24,30-39,71741,901.0,22.0,234.0,6.0,9.0
2021-07-18 - 2021-07-24,40-49,69790,922.0,12.0,160.0,<5,6.0
2021-07-18 - 2021-07-24,50-59,50000,581.0,6.0,96.0,<5,<5
2021-07-18 - 2021-07-24,60-69,38547,587.0,<5,44.0,<5,<5
2021-07-18 - 2021-07-24,70-79,22381,349.0,<5,19.0,0.0,0.0
2021-07-18 - 2021-07-24,80+,16682,180.0,<5,22.0,<5,0.0
2021-07-25 - 2021-07-31,0-19,258882,578.0,186.0,4836.0,6.0,51.0
2021-07-25 - 2021-07-31,20-29,85520,1273.0,32.0,384.0,9.0,34.0
2021-07-25 - 2021-07-31,30-39,90126,1550.0,30.0,403.0,10.0,26.0
2021-07-25 - 2021-07-31,40-49,82847,1483.0,17.0,280.0,10.0,13.0
