date,age,dose1,dose2,pop,dose3
2021-01-07,0_79,438075,13567,53694539,
2021-01-07,80_120,654810,6414,2855599,
2021-02-11,0_69,4021093,119498,48870419,
2021-02-11,70_74,2057357,4283,2814128,
2021-02-11,75_79,1855622,7645,2009992,
2021-02-11,80_120,2588999,337729,2855599,
2021-03-11,0_59,6986086,265037,42889306,
2021-03-11,60_64,2160399,36008,3196813,
2021-03-11,65_69,2494520,17368,2784300,
2021-03-11,70_74,2666290,14014,2814128,
2021-03-11,75_79,1965161,18521,2009992,
2021-03-11,80_120,2689926,445614,2855599,
2021-04-08,0_49,6737324,1031883,35252173,
2021-04-08,50_54,3400867,264192,3875351,
2021-04-08,55_59,3435204,274250,3761782,
2021-04-08,60_64,3016148,216284,3196813,
2021-04-08,65_69,2622510,145796,2784300,
2021-04-08,70_74,2693173,270363,2814128,
2021-04-08,75_79,1979374,513338,2009992,
2021-04-08,80_120,2701159,1658535,2855599,
2021-05-06,0_44,5910999,1881206,31613534,
2021-05-06,45_49,2777020,545492,3638639,
2021-05-06,50_54,3497499,697597,3875351,
2021-05-06,55_59,3498593,793795,3761782,
2021-05-06,60_64,3048044,811424,3196813,
2021-05-06,65_69,2640825,1413456,2784300,
2021-05-06,70_74,2705504,2407181,2814128,
2021-05-06,75_79,1985387,1866381,2009992,
2021-05-06,80_120,2695893,2525517,2855599,
2021-06-03,0_29,2150534,1180221,20574370,
2021-06-03,30_34,1803319,720566,3824652,
2021-06-03,35_39,2549269,818254,3738209,
2021-06-03,40_44,2897519,958666,3476303,
2021-06-03,45_49,3112638,1225535,3638639,
2021-06-03,50_54,3562105,2150733,3875351,
2021-06-03,55_59,3556203,2272922,3761782,
2021-06-03,60_64,3089410,2582904,3196813,
2021-06-03,65_69,2655653,2515675,2784300,
2021-06-03,70_74,2710237,2642764,2814128,
2021-06-03,75_79,1985751,1941664,2009992,
2021-06-03,80_120,2683700,2599357,2855599,
2021-07-08,0_17,173192,64280,12093288,
2021-07-08,18_24,2690056,803967,4709589,
2021-07-08,25_29,2463256,846349,3771493,
2021-07-08,30_34,2885093,1094264,3824652,
2021-07-08,35_39,3015270,1314351,3738209,
2021-07-08,40_44,3051866,1924660,3476303,
2021-07-08,45_49,3211192,2474388,3638639,
2021-07-08,50_54,3611929,3400161,3875351,
2021-07-08,55_59,3593404,3421741,3761782,
2021-07-08,60_64,3110175,2995691,3196813,
2021-07-08,65_69,2663699,2604346,2784300,
2021-07-08,70_74,2711771,2670387,2814128,
2021-07-08,75_79,1983649,1955218,2009992,
2021-07-08,80_120,2665589,2605856,2855599,
2021-08-05,0_17,240870,85932,12093288,
2021-08-05,18_24,3225172,1058061,4709589,
2021-08-05,25_29,2702545,1151456,3771493,
2021-08-05,30_34,3045472,1830451,3824652,
2021-08-05,35_39,3122994,2296299,3738209,
2021-08-05,40_44,3111906,2714086,3476303,
2021-08-05,45_49,3253282,2989199,3638639,
2021-08-05,50_54,3638151,3478559,3875351,
2021-08-05,55_59,3611070,3474970,3761782,
2021-08-05,60_64,3120313,3025370,3196813,
2021-08-05,65_69,2669133,2619868,2784300,
2021-08-05,70_74,2713135,2677479,2814128,
2021-08-05,75_79,1981840,1957280,2009992,
2021-08-05,80_120,2650157,2596938,2855599,
2021-08-26,0_17,521192,121875,12093288,
2021-08-26,18_24,3364322,1783852,4709589,
2021-08-26,25_29,2788448,1870714,3771493,
2021-08-26,30_34,3109627,2432558,3824652,
2021-08-26,35_39,3167004,2709493,3738209,
2021-08-26,40_44,3137499,2876973,3476303,
2021-08-26,45_49,3270952,3079435,3638639,
2021-08-26,50_54,3649245,3510602,3875351,
2021-08-26,55_59,3618268,3497133,3761782,
2021-08-26,60_64,3124041,3037270,3196813,
2021-08-26,65_69,2670139,2625259,2784300,
2021-08-26,70_74,2711803,2678869,2814128,
2021-08-26,75_79,1979240,1956500,2009992,
2021-08-26,80_120,2637069,2586755,2855599,
2021-09-12,0_17,847039,176561,12093288,
2021-09-12,18_24,3458297,2585819,4709589,
2021-09-12,25_29,2848373,2323730,3771493,
2021-09-12,30_34,3157021,2730511,3824652,
2021-09-12,35_39,3199159,2883366,3738209,
2021-09-12,40_44,3156338,2942641,3476303,
2021-09-12,45_49,3283889,3122084,3638639,
2021-09-12,50_54,3657330,3532010,3875351,
2021-09-12,55_59,3623505,3511566,3761782,
2021-09-12,60_64,3126477,3045002,3196813,
2021-09-12,65_69,2670391,2628406,2784300,
2021-09-12,70_74,2710011,2679020,2814128,
2021-09-12,75_79,1976305,1954781,2009992,
2021-09-12,80_120,2623364,2574908,2855599,
2021-11-11,0_17,1606796,172493,12093288,
2021-11-11,18_24,3570472,3035116,4709589,
2021-11-11,25_29,2922166,2588614,3771493,
2021-11-11,30_34,3235135,2932403,3824652,
2021-11-11,35_39,3258624,3025289,3738209,
2021-11-11,40_44,3213942,3041876,3476303,
2021-11-11,45_49,3264419,3134287,3638639,
2021-11-11,50_54,3666399,3559167,3875351,
2021-11-11,55_59,3658032,3561026,3761782,
2021-11-11,60_64,3177121,3103091,3196813,
2021-11-11,65_69,2696552,2658970,2784300,
2021-11-11,70_74,2705198,2679351,2814128,
2021-11-11,75_79,2063972,2046722,2009992,
2021-11-11,80_120,2711731,2683914,2855599,
2021-10-14,0_17,1127849,236536,12093288,
2021-10-14,18_24,3539647,2949005,4709589,
2021-10-14,25_29,2906115,2528152,3771493,
2021-10-14,30_34,3205596,2873282,3824652,
2021-10-14,35_39,3233237,2980659,3738209,
2021-10-14,40_44,3177496,2993946,3476303,
2021-10-14,45_49,3298012,3157069,3638639,
2021-10-14,50_54,3666322,3552641,3875351,
2021-10-14,55_59,3629035,3526079,3761782,
2021-10-14,60_64,3128912,3053121,3196813,
2021-10-14,65_69,2670362,2631687,2784300,
2021-10-14,70_74,2707597,2679092,2814128,
2021-10-14,75_79,1972331,1953131,2009992,
2021-10-14,80_120,2604619,2568761,2855599,
2021-11-14,0_11,NA,NA,8174865,0
2021-11-14,12_15,1010704,12649,2677375,40
2021-11-14,16_17,786856,174831,1241048,4508
2021-11-14,18_24,3501417,3032329,4709589,112122
2021-11-14,25_29,2869216,2572003,3771493,160892
2021-11-14,30_34,3185807,2913288,3824652,205190
2021-11-14,35_39,3218276,3007320,3738209,237265
2021-11-14,40_44,3183344,3027980,3476303,287163
2021-11-14,45_49,3244374,3126385,3638639,368978
2021-11-14,50_54,3653017,3557497,3875351,624579
2021-11-14,55_59,3655483,3580654,3761782,754210
2021-11-14,60_64,3182864,3130389,3196813,837013
2021-11-14,65_69,2709879,2672921,2784300,1295637
2021-11-14,70_74,2733155,2700766,2814128,1913539
2021-11-14,75_79,2104691,2075895,2009992,1634673
2021-11-14,80_120,2905019,2820001,2855599,2156737
2021-11-22,0_11,NA,NA,8174865,NA
2021-11-22,12_15,1115969,14979,2677375,64
2021-11-22,16_17,796544,191840,1241048,7074
2021-11-22,18_24,3513882,3061321,4709589,139179
2021-11-22,25_29,2879312,2591187,3771493,193591
2021-11-22,30_34,3195226,2930098,3824652,250272
2021-11-22,35_39,3224866,3019884,3738209,295889
2021-11-22,40_44,3187514,3036222,3476303,366385
2021-11-22,45_49,3247319,3132049,3638639,476305
2021-11-22,50_54,3655231,3561828,3875351,882039
2021-11-22,55_59,3657158,3583959,3761782,1070294
2021-11-22,60_64,3184131,3132720,3196813,1257195
2021-11-22,65_69,2710778,2674685,2784300,1710645
2021-11-22,70_74,2733886,2702053,2814128,2162835
2021-11-22,75_79,2105170,2076727,2009992,1750602
2021-11-22,80_120,2905536,2821430,2855599,2260042
2021-12-07,0_11,NA,NA,8174865,NA
2021-12-07,12_15,1256092,21335,2677375,121
2021-12-07,16_17,821239,334184,1241048,13441
2021-12-07,18_24,3543684,3119819,4709589,212726
2021-12-07,25_29,2901944,2628616,3771493,279406
2021-12-07,30_34,3215694,2963734,3824652,368883
2021-12-07,35_39,3239640,3045278,3738209,455774
2021-12-07,40_44,3197411,3053340,3476303,679251
2021-12-07,45_49,3254422,3144762,3638639,902282
2021-12-07,50_54,3660472,3571100,3875351,1747709
2021-12-07,55_59,3661260,3591336,3761782,2047373
2021-12-07,60_64,3186995,3137850,3196813,2179173
2021-12-07,65_69,2712912,2678066,2784300,2219668
2021-12-07,70_74,2735629,2704380,2814128,2419487
2021-12-07,75_79,2106196,2078375,2009992,1878148
2021-12-07,80_120,2906724,2824095,2855599,2410087
2021-12-26,0_11,NA,NA,8174865,NA
2021-12-26,12_15,1371387,48481,2677375,359
2021-12-26,16_17,863201,520756,1241048,33682
2021-12-26,18_24,3601114,3219168,4709589,1072462
2021-12-26,25_29,2939294,2686687,3771493,1052443
2021-12-26,30_34,3248726,3014986,3824652,1377438
2021-12-26,35_39,3263230,3083639,3738209,1597941
2021-12-26,40_44,3212914,3079988,3476303,1879043
2021-12-26,45_49,3265352,3165101,3638639,2149118
2021-12-26,50_54,3668959,3586349,3875351,2820159
2021-12-26,55_59,3668211,3602682,3761782,3006564
2021-12-26,60_64,3192143,3145212,3196813,2767040
2021-12-26,65_69,2716716,2682428,2784300,2463433
2021-12-26,70_74,2738501,2707203,2814128,2545209
2021-12-26,75_79,2107960,2080271,2009992,1953763
2021-12-26,80_120,2908528,2827497,2855599,2528719
