CODGEO;LIBGEO;MED14
01001;L'Abergement-Clémenciat;21576,7
01002;L'Abergement-de-Varey;21672,9
01004;Ambérieu-en-Bugey;19756,1
01005;Ambérieux-en-Dombes;23204,8
01006;Ambléon;22157,5
01007;Ambronay;21679,3
01008;Ambutrix;23839,0
01009;Andert-et-Condon;21824,0
01010;Anglefort;21962,0
01011;Apremont;21885,7
01012;Aranc;20885,7
01013;Arandas;20654,1
01014;Arbent;19806,0
01015;Arbignieu;22107,3
01016;Arbigny;20138,1
01017;Argis;18959,3
01019;Armix;
01021;Ars-sur-Formans;22680,4
01022;Artemare;18886,7
01023;Asnières-sur-Saône;
01024;Attignat;21142,9
01025;Bâgé-la-Ville;21780,5
01026;Bâgé-le-Châtel;20700,7
01027;Balan;22310,0
01028;Baneins;21597,5
01029;Beaupont;18909,2
01030;Beauregard;19958,2
01031;Bellignat;18911,0
01032;Béligneux;20611,9
01033;Bellegarde-sur-Valserine;19347,0
01034;Belley;18563,0
01035;Belleydoux;21988,7
01036;Belmont-Luthézieu;20631,6
01037;Bénonces;19961,3
01038;Bény;21310,0
01039;Béon;19799,0
01040;Béréziat;20358,3
01041;Bettant;21695,6
01042;Bey;23672,0
01043;Beynost;25512,5
01044;Billiat;26489,5
01045;Birieux;23163,0
01046;Biziat;20914,5
01047;Blyes;24717,0
01049;La Boisse;24752,7
01050;Boissey;19316,2
01051;Bolozon;
01052;Bouligneux;24640,7
01053;Bourg-en-Bresse;18179,5
01054;Bourg-Saint-Christophe;25205,7
01056;Boyeux-Saint-Jérôme;20164,0
01057;Boz;19961,3
01058;Brégnier-Cordon;20269,0
01059;Brénaz;19556,0
01060;Brénod;22238,1
01061;Brens;22449,2
01062;Bressolles;25766,7
01063;Brion;23506,0
01064;Briord;19997,4
01065;Buellas;23229,0
01066;La Burbanche;
01067;Ceignes;21235,2
01068;Cerdon;19423,4
01069;Certines;22415,0
01071;Cessy;35676,7
01072;Ceyzériat;22585,7
01073;Ceyzérieu;21656,5
01074;Chalamont;20830,0
01075;Chaleins;22391,7
01076;Chaley;18857,4
01077;Challes-la-Montagne;21251,9
01078;Challex;37770,6
01079;Champagne-en-Valromey;19785,0
01080;Champdor;21276,0
01081;Champfromier;22566,5
01082;Chanay;23483,5
01083;Chaneins;22539,5
01084;Chanoz-Châtenay;20008,7
01085;La Chapelle-du-Châtelard;22007,3
01087;Charix;23496,5
01088;Charnoz-sur-Ain;25069,0
01089;Château-Gaillard;21443,3
01090;Châtenay;20928,7
01091;Châtillon-en-Michaille;24910,0
01092;Châtillon-la-Palud;22268,7
01093;Châtillon-sur-Chalaronne;20394,8
01094;Chavannes-sur-Reyssouze;20268,7
01095;Chavannes-sur-Suran;20394,7
01096;Chaveyriat;20754,3
01097;Chavornay;21030,4
01098;Chazey-Bons;19978,6
01099;Chazey-sur-Ain;23282,3
01100;Cheignieu-la-Balme;19434,7
01101;Chevillard;23480,0
01102;Chevroux;21594,3
01103;Chevry;37866,7
01104;Chézery-Forens;22800,7
01105;Civrieux;25552,5
01106;Cize;19590,6
01107;Cleyzieu;22195,0
01108;Coligny;20662,0
01109;Collonges;30175,0
01110;Colomieu;20721,3
01111;Conand;20372,7
01112;Condamine;20971,0
01113;Condeissiat;19532,4
01114;Confort;23610,4
01115;Confrançon;20876,0
01116;Contrevoz;20277,0
01117;Conzieu;19128,5
01118;Corbonod;23131,0
01119;Corcelles;20483,1
01121;Corlier;19114,0
01122;Cormaranche-en-Bugey;22573,3
01123;Cormoranche-sur-Saône;21834,3
01124;Cormoz;20530,0
01125;Corveissiat;21029,2
01127;Courmangoux;21561,3
01128;Courtes;20065,0
01129;Crans;22039,2
01130;Cras-sur-Reyssouze;21713,2
01133;Cressin-Rochefort;21368,0
01134;Crottet;21858,7
01135;Crozet;34938,8
01136;Cruzilles-lès-Mépillat;21914,0
01138;Culoz;19016,5
01139;Curciat-Dongalon;18783,0
01140;Curtafond;22099,5
01141;Cuzieu;23068,7
01142;Dagneux;22250,0
01143;Divonne-les-Bains;40542,0
01144;Dommartin;20676,7
01145;Dompierre-sur-Veyle;20366,3
01146;Dompierre-sur-Chalaronne;21966,7
01147;Domsure;19001,3
01148;Dortan;21458,0
01149;Douvres;24521,3
01150;Drom;21814,0
01151;Druillat;21717,1
01152;Échallon;24018,5
01153;Échenevex;41570,0
01154;Étrez;20325,0
01155;Évosges;18644,4
01156;Faramans;23308,9
01157;Fareins;24260,4
01158;Farges;30798,2
01159;Feillens;21004,4
01160;Ferney-Voltaire;25135,3
01162;Flaxieu;
01163;Foissiat;20498,9
01165;Francheleins;22231,2
01166;Frans;24142,0
01167;Garnerans;22122,8
01169;Genouilleux;22704,0
01170;Béard-Géovreissiat;21034,5
01171;Géovreisset;21182,9
01172;Germagnat;19346,2
01173;Gex;30333,0
01174;Giron;22699,5
01175;Gorrevod;19995,4
01176;Le Grand-Abergement;18884,4
01177;Grand-Corent;21520,0
01179;Grièges;21428,0
01180;Grilly;35981,5
01181;Groissiat;22623,0
01182;Groslée;20803,5
01183;Guéreins;22717,0
01184;Hautecourt-Romanèche;20989,0
01185;Hauteville-Lompnes;20332,7
01186;Hostiaz;
01187;Hotonnes;20254,7
01188;Illiat;22272,8
01189;Injoux-Génissiat;24600,5
01190;Innimond;
01191;Izenave;18984,3
01192;Izernore;20561,1
01193;Izieu;21412,3
01194;Jassans-Riottier;21132,9
01195;Jasseron;22666,9
01196;Jayat;21040,4
01197;Journans;24992,5
01198;Joyeux;20147,3
01199;Jujurieux;20279,0
01200;Labalme;18800,0
01202;Lagnieu;20672,4
01203;Laiz;21541,3
01204;Lalleyriat;19976,1
01205;Lancrans;22993,3
01206;Lantenay;23004,3
01207;Lapeyrouse;23795,7
01208;Lavours;19442,9
01209;Léaz;27522,0
01210;Lélex;21157,0
01211;Lent;21816,2
01212;Lescheroux;19552,0
01213;Leyment;21604,0
01214;Leyssard;21963,0
01215;Lhôpital;
01216;Lhuis;20384,2
01218;Lochieu;
01219;Lompnas;17046,0
01221;Lompnieu;23231,0
01224;Loyettes;20774,3
01225;Lurcy;23599,5
01227;Magnieu;21225,6
01228;Maillat;22103,0
01229;Malafretaz;21104,3
01230;Mantenay-Montlin;18931,3
01231;Manziat;21216,4
01232;Marboz;20668,0
01233;Marchamp;21230,4
01234;Marignieu;21091,2
01235;Marlieux;21000,0
01236;Marsonnas;20740,0
01237;Martignat;19838,0
01238;Massieux;25030,7
01239;Massignieu-de-Rives;22409,5
01240;Matafelon-Granges;20954,8
01241;Meillonnas;23341,3
01242;Mérignat;17639,3
01243;Messimy-sur-Saône;24204,7
01244;Meximieux;21748,4
01245;Bohas-Meyriat-Rignat;21747,0
01246;Mézériat;20324,7
01247;Mijoux;25465,6
01248;Mionnay;25467,6
01249;Miribel;23166,6
01250;Misérieux;24817,2
01252;Mogneneins;21257,2
01254;Montagnat;24781,3
01255;Montagnieu;20112,4
01257;Montanges;24984,0
01258;Montceaux;23106,0
01259;Montcet;22427,5
01260;Le Montellier;24708,5
01261;Monthieux;24047,0
01262;Montluel;20350,5
01263;Montmerle-sur-Saône;22354,0
01264;Montracol;21597,8
01265;Montréal-la-Cluse;18235,7
01266;Montrevel-en-Bresse;20341,4
01267;Nurieux-Volognat;21183,0
01268;Murs-et-Gélignieux;21458,5
01269;Nantua;16513,8
01271;Nattages;23463,3
01272;Neuville-les-Dames;20980,7
01273;Neuville-sur-Ain;20257,3
01274;Les Neyrolles;17781,2
01275;Neyron;26702,9
01276;Niévroz;23480,0
01277;Nivollet-Montgriffon;21924,2
01279;Oncieu;
01280;Ordonnaz;19729,5
01281;Ornex;33927,6
01282;Outriaz;22195,7
01283;Oyonnax;16654,2
01284;Ozan;19101,2
01285;Parcieux;26912,0
01286;Parves;22844,1
01288;Péron;33371,1
01289;Péronnas;21929,1
01290;Pérouges;25036,7
01291;Perrex;21055,7
01292;Le Petit-Abergement;23299,3
01293;Peyriat;24526,0
01294;Peyrieu;20945,7
01295;Peyzieux-sur-Saône;21300,5
01296;Pirajoux;19743,8
01297;Pizay;24679,1
01298;Plagne;27129,0
01299;Le Plantay;21307,6
01300;Le Poizat;22688,6
01301;Polliat;22589,5
01302;Pollieu;23598,0
01303;Poncin;19240,4
01304;Pont-d'Ain;20349,5
01305;Pont-de-Vaux;18262,7
01306;Pont-de-Veyle;18452,0
01307;Port;21015,3
01308;Pougny;33717,0
01309;Pouillat;
01310;Prémeyzel;18954,7
01311;Prémillieu;
01312;Pressiat;20576,7
01313;Prévessin-Moëns;36875,0
01314;Priay;21676,0
01316;Pugieu;21447,5
01317;Ramasse;21615,0
01318;Rancé;25184,2
