areaCode,areaName,areaType,date,age,VaccineRegisterPopulationByVaccinationDate,cumPeopleVaccinatedCompleteByVaccinationDate,newPeopleVaccinatedCompleteByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,cumVaccinationThirdInjectionUptakeByVaccinationDatePercentage,cumVaccinationCompleteCoverageByVaccinationDatePercentage
E92000001,England,nation,2022-02-03,12_15,2886567.0,522523.0,13083.0,1565934.0,3339.0,522523.0,13083.0,2318.0,123.0,54.2,18.1,0.1,18.1
E92000001,England,nation,2022-02-03,16_17,1375012.0,654729.0,1425.0,918845.0,614.0,654729.0,1425.0,83588.0,917.0,66.8,47.6,6.1,47.6
E92000001,England,nation,2022-02-03,18_24,5399576.0,3393172.0,2112.0,3837066.0,1787.0,3393172.0,2112.0,1763634.0,5609.0,71.1,62.8,32.7,62.8
E92000001,England,nation,2022-02-03,25_29,4549150.0,2817918.0,1325.0,3096654.0,1048.0,2817918.0,1325.0,1591624.0,4056.0,68.1,61.9,35.0,61.9
E92000001,England,nation,2022-02-03,30_34,4847742.0,3134391.0,1090.0,3382266.0,792.0,3134391.0,1090.0,1941558.0,3664.0,69.8,64.7,40.1,64.7
E92000001,England,nation,2022-02-03,35_39,4597615.0,3174689.0,781.0,3362160.0,545.0,3174689.0,781.0,2156353.0,3177.0,73.1,69.1,46.9,69.1
E92000001,England,nation,2022-02-03,40_44,4216641.0,3143576.0,484.0,3281750.0,316.0,3143576.0,484.0,2338106.0,2401.0,77.8,74.6,55.4,74.6
E92000001,England,nation,2022-02-03,45_49,3999364.0,3208716.0,351.0,3311973.0,218.0,3208716.0,351.0,2563956.0,2005.0,82.8,80.2,64.1,80.2
E92000001,England,nation,2022-02-03,50_54,4249477.0,3615876.0,269.0,3700838.0,156.0,3615876.0,269.0,3093020.0,1574.0,87.1,85.1,72.8,85.1
E92000001,England,nation,2022-02-03,55_59,4121523.0,3615677.0,187.0,3683438.0,129.0,3615677.0,187.0,3203175.0,1184.0,89.4,87.7,77.7,87.7
