dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel
01;04;2021-10-28;43;26;0;38356.0;0.1;0.1;0.0
01;11;2021-10-28;153;139;0;18151.0;0.8;0.8;0.0
01;17;2021-10-28;33860;31903;14;52102.0;65.0;61.2;0.0
01;24;2021-10-28;35796;33583;33;45088.0;79.4;74.5;0.1
01;29;2021-10-28;22221;20756;43;34820.0;63.8;59.6;0.1
01;39;2021-10-28;55753;52957;160;85588.0;65.1;61.9;0.2
01;49;2021-10-28;64752;61858;318;89678.0;72.2;69.0;0.4
01;59;2021-10-28;68339;67017;1067;89791.0;76.1;74.6;1.2
01;09;2021-10-28;17;4;0;44645.0;0.0;0.0;0.0
01;64;2021-10-28;31863;31324;819;38384.0;83.0;81.6;2.1
01;69;2021-10-28;29398;28966;1540;35116.0;83.7;82.5;4.4
01;74;2021-10-28;28128;27657;2556;30953.0;90.9;89.4;8.3
01;79;2021-10-28;18339;17946;5534;20058.0;91.4;89.5;27.6
01;80;2021-10-28;28722;27873;9703;34225.0;83.9;81.4;28.4
02;04;2021-10-28;14;5;0;28189.0;0.0;0.0;0.0
02;11;2021-10-28;108;93;0;14179.0;0.8;0.7;0.0
02;17;2021-10-28;33292;31817;14;41103.0;81.0;77.4;0.0
02;24;2021-10-28;36585;35228;46;37469.0;97.6;94.0;0.1
02;29;2021-10-28;21170;20395;43;26232.0;80.7;77.7;0.2
02;39;2021-10-28;50128;48801;171;62599.0;80.1;78.0;0.3
02;49;2021-10-28;54959;53935;384;64812.0;84.8;83.2;0.6
02;59;2021-10-28;60710;59839;1471;70352.0;86.3;85.1;2.1
02;09;2021-10-28;7;0;0;34123.0;0.0;0.0;0.0
02;64;2021-10-28;30149;29752;1305;34901.0;86.4;85.2;3.7
02;69;2021-10-28;29394;29043;2383;34176.0;86.0;85.0;7.0
02;74;2021-10-28;27936;27594;3545;28969.0;96.4;95.3;12.2
02;79;2021-10-28;15693;15471;4667;16402.0;95.7;94.3;28.5
02;80;2021-10-28;26944;26215;8953;32544.0;82.8;80.6;27.5
