dep;jour;n_dose1;n_complet;n_cum_dose1;n_cum_complet;couv_dose1;couv_complet
01;2020-12-27;2;0;2;0;0.0;0.0
01;2020-12-28;0;0;2;0;0.0;0.0
01;2020-12-29;0;0;2;0;0.0;0.0
01;2020-12-30;0;0;2;0;0.0;0.0
01;2020-12-31;0;0;2;0;0.0;0.0
01;2021-01-01;2;0;4;0;0.0;0.0
01;2021-01-02;1;0;5;0;0.0;0.0
01;2021-01-03;0;0;5;0;0.0;0.0
01;2021-01-04;2;0;7;0;0.0;0.0
01;2021-01-05;2;0;9;0;0.0;0.0
01;2021-01-06;1;0;10;0;0.0;0.0
01;2021-01-07;67;0;77;0;0.0;0.0
01;2021-01-08;159;1;236;1;0.0;0.0
01;2021-01-09;2;1;238;2;0.0;0.0
01;2021-01-10;1;0;239;2;0.0;0.0
01;2021-01-11;148;0;387;2;0.1;0.0
01;2021-01-12;319;2;706;4;0.1;0.0
01;2021-01-13;445;1;1151;5;0.2;0.0
01;2021-01-14;530;3;1681;8;0.3;0.0
01;2021-01-15;398;4;2079;12;0.3;0.0
01;2021-01-16;202;0;2281;12;0.3;0.0
01;2021-01-17;128;0;2409;12;0.4;0.0
01;2021-01-18;380;3;2789;15;0.4;0.0
01;2021-01-19;1041;2;3830;17;0.6;0.0
01;2021-01-20;1262;4;5092;21;0.8;0.0
01;2021-01-21;1101;6;6193;27;0.9;0.0
01;2021-01-22;651;4;6844;31;1.0;0.0
01;2021-01-23;223;0;7067;31;1.1;0.0
01;2021-01-24;70;1;7137;32;1.1;0.0
01;2021-01-25;485;1;7622;33;1.2;0.0
01;2021-01-26;744;5;8366;38;1.3;0.0
01;2021-01-27;518;7;8884;45;1.4;0.0
01;2021-01-28;683;57;9567;102;1.5;0.0
01;2021-01-29;640;102;10207;204;1.6;0.0
01;2021-01-30;237;15;10444;219;1.6;0.0
01;2021-01-31;64;0;10508;219;1.6;0.0
01;2021-02-01;459;73;10967;292;1.7;0.0
01;2021-02-02;519;185;11486;477;1.7;0.1
01;2021-02-03;376;300;11862;777;1.8;0.1
01;2021-02-04;480;417;12342;1194;1.9;0.2
01;2021-02-05;444;281;12786;1475;1.9;0.2
01;2021-02-06;264;143;13050;1618;2.0;0.2
01;2021-02-07;2;111;13052;1729;2.0;0.3
01;2021-02-08;507;404;13559;2133;2.1;0.3
01;2021-02-09;776;858;14335;2991;2.2;0.5
01;2021-02-10;957;720;15292;3711;2.3;0.6
01;2021-02-11;795;774;16087;4485;2.4;0.7
01;2021-02-12;640;552;16727;5037;2.5;0.8
01;2021-02-13;161;151;16888;5188;2.6;0.8
01;2021-02-14;2;9;16890;5197;2.6;0.8
01;2021-02-15;438;445;17328;5642;2.6;0.9
01;2021-02-16;660;422;17988;6064;2.7;0.9
01;2021-02-17;524;251;18512;6315;2.8;1.0
01;2021-02-18;592;569;19104;6884;2.9;1.0
01;2021-02-19;580;249;19684;7133;3.0;1.1
01;2021-02-20;201;154;19885;7287;3.0;1.1
01;2021-02-21;1;1;19886;7288;3.0;1.1
01;2021-02-22;429;558;20315;7846;3.1;1.2
01;2021-02-23;483;523;20798;8369;3.2;1.3
01;2021-02-24;435;462;21233;8831;3.2;1.3
01;2021-02-25;827;610;22060;9441;3.4;1.4
01;2021-02-26;874;545;22934;9986;3.5;1.5
01;2021-02-27;481;118;23415;10104;3.6;1.5
01;2021-02-28;20;3;23435;10107;3.6;1.5
01;2021-03-01;636;460;24071;10567;3.7;1.6
01;2021-03-02;964;561;25035;11128;3.8;1.7
01;2021-03-03;945;669;25980;11797;4.0;1.8
01;2021-03-04;1198;647;27178;12444;4.1;1.9
01;2021-03-05;1357;502;28535;12946;4.3;2.0
01;2021-03-06;781;102;29316;13048;4.5;2.0
01;2021-03-07;44;1;29360;13049;4.5;2.0
