reg;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel
01;04;2021-11-09;17;8;0;18024.0;0.1;0.0;0.0
01;11;2021-11-09;48;35;0;9848.0;0.5;0.4;0.0
01;17;2021-11-09;6640;5928;0;31305.0;21.2;18.9;0.0
01;24;2021-11-09;9290;7919;21;27093.0;34.3;29.2;0.1
01;29;2021-11-09;5831;5208;57;16795.0;34.7;31.0;0.3
01;39;2021-11-09;14701;13371;120;37149.0;39.6;36.0;0.3
01;49;2021-11-09;19637;18280;181;48928.0;40.1;37.4;0.4
01;59;2021-11-09;26046;24347;438;60524.0;43.0;40.2;0.7
01;09;2021-11-09;6;2;0;22110.0;0.0;0.0;0.0
01;64;2021-11-09;12679;11947;453;27495.0;46.1;43.5;1.6
01;69;2021-11-09;12253;11567;933;23618.0;51.9;49.0;4.0
01;74;2021-11-09;10681;10060;998;19823.0;53.9;50.7;5.0
01;79;2021-11-09;7492;7052;904;13239.0;56.6;53.3;6.8
01;80;2021-11-09;8020;7328;896;20928.0;38.3;35.0;4.3
02;04;2021-11-09;12;0;0;15550.0;0.1;0.0;0.0
02;11;2021-11-09;51;41;0;8430.0;0.6;0.5;0.0
02;17;2021-11-09;6412;5585;2;26182.0;24.5;21.3;0.0
02;24;2021-11-09;8661;7310;22;24337.0;35.6;30.0;0.1
02;29;2021-11-09;5792;5127;69;15561.0;37.2;32.9;0.4
02;39;2021-11-09;14972;13584;154;34280.0;43.7;39.6;0.4
02;49;2021-11-09;18246;16873;237;42967.0;42.5;39.3;0.6
02;59;2021-11-09;25995;24233;594;62671.0;41.5;38.7;0.9
02;09;2021-11-09;4;2;0;18441.0;0.0;0.0;0.0
02;64;2021-11-09;13300;12505;519;28516.0;46.6;43.9;1.8
02;69;2021-11-09;12530;11874;989;24040.0;52.1;49.4;4.1
02;74;2021-11-09;10755;10229;1138;19607.0;54.9;52.2;5.8
02;79;2021-11-09;7343;7002;972;13902.0;52.8;50.4;7.0
02;80;2021-11-09;9021;8414;1061;24265.0;37.2;34.7;4.4
03;04;2021-11-09;37;16;0;32085.0;0.1;0.0;0.0
03;11;2021-11-09;29;21;0;12235.0;0.2;0.2;0.0
03;17;2021-11-09;6753;5412;1;35925.0;18.8;15.1;0.0
03;24;2021-11-09;9673;7738;6;30954.0;31.2;25.0;0.0
03;29;2021-11-09;7851;6695;32;19945.0;39.4;33.6;0.2
03;39;2021-11-09;17340;15005;111;39602.0;43.8;37.9;0.3
03;49;2021-11-09;16390;14487;126;34757.0;47.2;41.7;0.4
03;59;2021-11-09;14367;12904;285;27026.0;53.2;47.7;1.1
03;09;2021-11-09;16;7;0;29958.0;0.1;0.0;0.0
03;64;2021-11-09;5139;4695;222;10200.0;50.4;46.0;2.2
03;69;2021-11-09;3476;3170;323;7246.0;48.0;43.7;4.5
03;74;2021-11-09;2283;2101;231;4665.0;48.9;45.0;5.0
03;79;2021-11-09;1261;1182;145;2703.0;46.7;43.7;5.4
03;80;2021-11-09;1120;1016;144;3390.0;33.0;30.0;4.2
04;04;2021-11-09;36;10;0;57908.0;0.1;0.0;0.0
04;11;2021-11-09;148;116;1;27281.0;0.5;0.4;0.0
04;17;2021-11-09;43200;39346;18;82143.0;52.6;47.9;0.0
